Carex paniculata
Carex parviflora
Carex pauciflora
Carex pediformis
Carex pendula
Carex pennsylvanica
Carex physodes
Carex pilosa
Carex pilulifera
Carex polyphylla
Carex praecox
Carex pseudobrizoides
Carex pseudocyperus
Carex pseudofoetida
Carex pulicaris
Carex punctata
Carex pyrenaica
Carex rariflora
Carex remota
Carex repens
Carex rhizina
Carex rhyncho-physa
Carex rhynchophysa
Carex riparia
Carex rostrata
Carex rotundata
Carex rupestris
Carex saxatilis
Carex schmidtii
Carex scoparium
Carex scopulorum
Carex secalina
Carex sempervirens
Carex songorica
Carex spicata
Carex stans
Carex stenophylla
Carex stenophylloides
Carex stricta
Carex strigosa
Carex subspathacea
Carex supina
Carex sylvatica
Carex tenuiflora
Carex tomentosa
Carex trinervis
Carex tristachya
Carex tristis
Carex turkestanica
Carex umbrosa
Carex utriculata
Carex vaginata
Carex varia
Carex vesicaria
Carex viridula
Carex vulgaris
Carex vulpina
Carica papaya
Cariniana estrellensis
Cariniana ianeirensis
Cariniana legalis
Carlina acaulis
Carlina longifolia
Carlina vulgaris
Carpinus betula
Carpinus betulus
