genus,count
Faujasia,5
Limbarda,2
Ismelia,1
Stuartina,2
Pacourina,1
Filfia,1
Microspermum,9
Zaluzania,15
Leucogenes,5
Psacaliopsis,3
Barrosoa,13
Spiracantha,1
Axiniphyllum,6
Tridactylina,1
Schistocarpha,14
Achnopogon,2
Leptostelma,7
Inulopsis,4
Nestotus,2
Sipolisia,1
Eremocharis,9
Moscharia,2
Bedfordia,3
Helichrysopsis,1
Mecomischus,2
Prolobus,1
Iotasperma,2
Paralychnophora,4
Rohria,1
Rachelia,1
Oreochrysum,1
Gratwickia,1
Malperia,1
Podanthus,2
Dyscritogyne,2
Amblyolepis,1
Oblivia,2
Oaxacania,1
Pappochroma,1
Dimorphocoma,1
Hippia,8
Atrichoseris,1
Hemizonia,1
Dyscritothamnus,2
Alatoseta,1
Eirmocephala,3
Guevaria,5
Syncretocarpus,2
Prenanthella,1
Orochaenactis,1
Argyroxiphium,5
Aedesia,3
Calostephane,6
Rhanterium,3
Pithocarpa,4
Stylotrichium,5
Sphaereupatorium,1
Cabreriella,2
Pseudobrickellia,3
Nipponanthemum,1
Quelchia,5
Sclerolepis,1
Dichromochlamys,1
Lepidolopsis,3
Allardia,9
Osbertia,4
Arrowsmithia,12
Bishopalea,1
Stizolophus,4
Wilkesia,2
Lasiospermum,4
Berroa,1
Lamprocephalus,1
Stephanopholis,1
Baltimora,2
Adenostyles,8
Dacryotrichia,1
Picradeniopsis,8
Hedosyne,1
Polymnia,8
Monactis,6
Telekia,2
Tamananthus,1
Sericocarpus,7
Hesperevax,3
Castroviejoa,2
Xylorhiza,9
Aztecaster,2
Cacaliopsis,1
Doellingeria,3
Plagius,3
Hesperomannia,4
Ancathia,1
Gypothamnium,1
Arrojadocharis,2
Almutaster,1
Santosia,1
Picnomon,1
Sommerfeltia,2
Charadranaetes,1
Rojasianthe,1
Allopterigeron,1
Calomeria,2
Macropodina,3
Cuniculotinus,1
Symphyllocarpus,1
Roodebergia,1
Guynesomia,1
Argentipallium,5
Nardophyllum,5
Hololeion,3
Arctanthemum,2
Cladanthus,5
Dysodiopsis,1
Steviopsis,5
Mesanthophora,2
Neurolakis,1
Litothamnus,2
Coleostephus,3
Cardopatium,2
Phoebanthus,2
Burkartia,1
Spiroseris,1
Soaresia,1
Misbrookea,1
Monosis,7
Eremothamnus,1
Hullsia,1
Adenothamnus,1
Carduogalactites,1
Lepidonia,7
Helminthotheca,10
Castrilanthemum,1
Jaramilloa,2
Bahia,1
Pleurophyllum,3
Herodotia,1
Pachystegia,3
Vernoniastrum,12
Dithyrostegia,2
Pterygopappus,1
Centromadia,4
Agnorhiza,5
Bishovia,2
