"names","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Phlox_hoodii",0.00272498884389685,0.0742104882772851,0.0254657555813232,-0.911252275693599,-0.911252124781025,0.171577619631904,"AM","RD",FALSE
"Eurya_japonica",0.00272498996315031,0.0742104882772912,0.0254657592789954,-0.911253024288515,-0.911252875077028,0.171577630321842,"AM","RD",FALSE
"Ternstroemia_coriacea",0.00272498996314678,0.074210488277285,0.0254657592788788,-0.911253024287879,-0.911252875077028,0.171577630321842,"AM","RD",FALSE
"Pentaphylax_euryoides",0.00272499033703019,0.074210488277839,0.0254657592791708,-0.911253241713015,-0.911253091701042,0.171577630292413,"AM","RD",FALSE
"Deutzia_glabrata",0.00719418162512024,0.0820222672414152,0.172939601394335,-1.71575055998487,-1.71553635845436,194.858521137004,"AM","RD",FALSE
"Deutzia_grandiflora",0.0071941812485242,0.0820222672414152,0.172939601384168,-1.71575034346348,-1.71553614510811,194.858521136975,"AM","RD",FALSE
"Philadelphus_incanus",0.0027250474742567,0.0742105878794486,0.0254676359102248,-0.911263485874871,-0.911253078375039,0.171577619631905,"AM","RD",FALSE
"Cornus_bretschneideri",0.00272499346128154,0.0742104934692123,0.0254658535965714,-0.911253763020157,-0.91125307837504,0.171577619631905,"AM","RD",FALSE
"Cornus_ulotricha",0.00272499346128154,0.0742104934692123,0.0254658535965714,-0.911253763020157,-0.91125307837504,0.171577619631905,"AM","RD",FALSE
"Cornus_controversa",0.0027249896578969,0.0742104868212085,0.025465728092937,-0.911253078374437,-0.911253078375039,0.171577619631905,"AM","RD",FALSE
"Cornus_kousa",0.0027250053833297,0.0742105143034219,0.025466246924254,-0.911255908701196,-0.9112530784417,0.171577619664496,"AM","RD",FALSE
"Cornus_florida",0.00272499667996091,0.0742104990951991,0.0254659598061701,-0.911254342413332,-0.911253078412036,0.171577619641944,"AM","RD",FALSE
"Cornus_officinalis",0.00191876330376531,0.0742104868212022,0.0254657280928188,-0.911253078374599,-0.911253078375039,0.171577619631905,"AM","RD",FALSE
"Alangium_chinense",0.00272498884389682,0.074210488277285,0.0254657555813222,-0.911252275693594,-0.911252124781025,0.171577619631905,"AM","RD",FALSE
"Nyssa_aquatica",0.00719436931497746,0.0820225953103404,0.1729457948099,-1.71578434525433,-1.7146599870042,266.562693447146,"AM","RD",FALSE
"Nyssa_sylvatica",0.00719436931664921,0.0820225953103404,0.1729457948099,-1.71578434622126,-1.7146599870042,266.562693447146,"AM","RD",FALSE
"Arenaria_serpyllifolia",0.0033008959260768,0.0742107209135233,0.0254701510673347,-0.911277198768534,-0.91125309170108,0.171577630292413,"NMAM","RD",FALSE
"Cerastium_arvense",0.00330080546292872,0.0742104883764077,0.0254657611400161,-0.911253250896121,-0.91125309170108,0.171577630292413,"NMAM","RD",FALSE
"Chenopodium_album",0.00330080485965292,0.0742104868213913,0.0254657317837768,-0.911253091720068,-0.911253091701059,0.171577630292413,"NMAM","RD",FALSE
"Krascheninnikovia_ceratoides",0.00272498950603136,0.0742104868212023,0.0254657317904014,-0.911253091761271,-0.91125309176006,0.171577630321831,"AM","RD",FALSE
"Rumex_acetosella",0.00280670079687867,0.0742104868212023,0.0254657317914681,-0.911252885842079,-0.911252905605565,0.171577630325005,"NMAM","RD",FALSE
"Fallopia_convolvulus",0.00280670115291456,0.0742104868212023,0.025465731791494,-0.911253091767792,-0.911253091767705,0.171577630325005,"NMAM","RD",FALSE
"Coccoloba_manzinellensis",0.00330080486897985,0.0742104868212023,0.0254657317802085,-0.911253091699812,-0.911253091702809,0.171577630292436,"EcM","RD",FALSE
"Coccoloba_excelsa",0.00272498953859898,0.0742104868212023,0.0254657317802344,-0.911253091699965,-0.911253091702809,0.171577630292436,"EcM","RD",FALSE
"Armeria_velutina",0.00272499033932013,0.0742104882772913,0.0254657592800897,-0.911253241723197,-0.911253091767545,0.171577630325005,"NMAM","RD",FALSE
"Schoepfia_jasminodora",0.00272498950367405,0.0742104868212023,0.0254657317802085,-0.911253091700618,-0.911253091700074,0.171577630293233,"AM","RD",FALSE
"Osyris_alba",0.00272504407654372,0.0742105822534617,0.0254675297006244,-0.911262690020405,-0.91125286190777,0.171577619631921,"NMAM","RD",FALSE
"Comandra_umbellata",0.00272504410135661,0.0742105822534617,0.0254675333880141,-0.911262919807707,-0.911253091689253,0.171577630292419,"AM","RD",FALSE
"Stauracanthus_genistoides",0.00272498966049804,0.0742104868212023,0.0254657281040794,-0.911253078441184,-0.911253078441699,0.171577619664496,"AM","RD",FALSE
"Imbralyx_leptobotrys",0.00272504425792786,0.0742105822534616,0.0254675297107912,-0.911262906541763,-0.911253078435231,0.171577619661333,"AM","RD",FALSE
"Trifolium_repens",0.0027249910779204,0.0742104924471893,0.025465838001068,-0.911252718524443,-0.91125213812628,0.171577630324159,"AM","RD",FALSE
"Trifolium_pratense",0.00272498966049801,0.0742104868212023,0.0254657281040784,-0.911253078441178,-0.9112530784417,0.171577619664498,"AM","RD",FALSE
