Genus_species,mycorrhizal state
Cedrus_libani,EM
Ceiba_pentandra,AM
Ceiba_speciosa,AM
Celosia_argentea,AMNM
Celtis_philippensis,AM
Cenchrus_ciliaris,AM
Cenchrus_pedicellatus,AM
Cenchrus_setaceus,AM
Cenchrus_setiger,AM
Centaurea_cyanus,AM
Centaurea_diffusa,AM
Centaurea_jacea,AM
Centaurea_maculosa,AM
Centaurea_nigra,AM
Centaurea_phrygia,AM
Centaurea_scabiosa,AM
Centaurea_solstitialis,AM
Centaurea_virgata,AM
Centaurium_erythraea,AM
Centaurium_littorale,AM
Centaurium_pulchellum,AM
Centranthus_ruber,NM
Centrolobium_tomentosum,AM
Centrosema_pubescens,AM
Cephalanthus_occidentalis,AM
Cephalotaxus_fortunei,AM
Cephalotaxus_harringtonia,AM
Cerastium_alpinum,NM
Cerastium_arcticum,NM
Cerastium_argenteum,NM
Cerastium_arvense,AMNM
Cerastium_cerastoides,NM
Cerastium_fontanum,AMNM
Cerastium_glomeratum,AMNM
Cerastium_kasbek,NM
Cerastium_multiflorum,NM
Cerastium_purpurascens,NM
Cerastium_semidecandrum,NM
Cerastium_uniflorum,AMNM
Cerasus_vulgaris,EM
Ceratocarpus_arenarius,NM
Ceratonia_siliqua,AM
Ceratopetalum_apetalum,EM
Ceratophyllum_demersum,NM
Ceratozamia_mexicana,AM
Ceropegia_woodii,AM
Cespedesia_spathulata,AM
Chaenomeles_speciosa,AM
Chaenorhinum_minus,NM
Chaerophyllum_aureum,AM
Chaerophyllum_roseum,AM
Chamaecyparis_formosensis,AM
Chamaecyparis_lawsoniana,AM
Chamaecyparis_obtusa,AM
Chamaecyparis_pisifera,AM
Chamaecyparis_thyoides,AM
Chamaecytisus_austriacus,AM
Chamaerops_humilis,AMNM
Chamaesciadium_acaule,AM
Chamerion_angustifolium,AMNM
Chelidonium_majus,NM
Chenopodium_album,AMNM
Chenopodium_foliosum,NM
Chenopodium_murale,NM
Chenopodium_rubrum,NM
Chimaphila_umbellata,EM
Chlorophytum_comosum,AM
Choerospondias_axillaris,AM
Chondrilla_juncea,AM
Chorispora_macropoda,NM
Chosenia_arbutifolia,EM
Chromolaena_odorata,AM
Chrysanthemum_segetum,AM
Chrysophyllum_sanguinolentum,AM
Chrysopogon_aciculatus,AM
Chrysosplenium_alternifolium,AMNM
Cicendia_filiformis,AM
