source, https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2745.13412
phylo.name,photosynthetic.pathway,avg.RGR,leaf.N,leaf.C,SLA,LDMC,leaf.PC1,leaf.PC2,root.N,root.C,SRL,SRA,root.avg.diam.mm,root.PC1,root.PC2
Panicum_antidotale,C4,0.049894857,0.511939339,3.686610236,5.814706932,2.887191369,-0.465484828,0.716619066,-0.000195016,3.784473507,9.002890556,6.798239583,-1.047253996,0.496397099,0.070503858
Panicum_bisulcatum,C3,0.065648242,0.840464325,3.769143155,5.746086131,3.077223853,-0.037533259,-0.248276248,-0.091700462,3.792721894,9.903761658,7.422528043,-1.283467051,-0.404826631,0.033076742
Panicum_dichotomiflorum,C4,0.03205778,0.679739472,3.750931392,5.77250727,3.018164327,-0.145329455,0.057054652,-0.204368336,3.829229226,9.651270075,7.252099343,-1.226971666,-0.196670725,-0.309978159
Panicum_hirticaule,C4,0.157753028,0.466853126,3.756388271,5.592936268,3.024337084,0.066502243,0.291591294,-0.331265732,3.852726823,10.9427734,8.426150143,-1.328119797,-1.455846124,-0.35737231
Panicum_laetum,C4,0.144219333,0.947684779,3.72876638,5.882925805,2.88364682,-0.472599734,-0.088698409,NA,NA,NA,NA,NA,NA,NA
Panicum_miliaceum,C4,0.073982732,0.548360628,3.766027411,5.61676354,2.88468815,-0.070926834,0.128598506,-0.287323486,3.804289881,9.180800394,6.893191002,-1.124045488,0.320059111,-0.313942862
Panicum_phragmitoides,C4,0.141065977,0.919470134,3.731626718,5.461015555,3.007844654,0.031686963,0.02705936,0.383230661,3.661983484,9.204337613,6.8599069,-1.111150565,0.441244867,1.141721978
Panicum_stapfianum,C4,0.089517174,0.883792374,3.749363281,5.674811382,3.084173909,-0.030355807,-0.126789935,NA,NA,NA,NA,NA,NA,NA
Panicum_sumatrense,C4,0.051910699,0.552459518,3.74417635,5.345187795,3.122714122,0.332196715,0.354051824,0.138575933,3.895360654,9.205021464,6.964648561,-1.074993842,0.132537463,-0.375075927
Paspalum_distichum,C4,0.147025436,1.253768079,3.763625338,5.92856809,2.85583841,-0.484529223,-0.692782326,0.131699936,3.825157721,10.06889853,7.514481976,-1.386294361,-0.68227937,0.084994421
Paspalum_floridanum,C4,0.131197144,0.898525346,3.723481169,5.841133427,2.64649753,-0.66738213,0.021591048,0.230242101,3.823572105,9.611511801,7.341997472,-1.112229585,-0.183433766,0.179920743
Pennisetum_setaceum,C4,0.160561049,0.703830267,3.698290852,5.365959557,2.646197296,-0.28913599,0.54594694,-0.041023591,3.760031515,9.612069731,7.178768718,-1.267711645,-0.104056126,0.219260688
Pennisetum_sieberianum,C4,0.011066855,0.438093532,3.718882977,5.571161723,2.839553702,-0.191423779,0.61698635,-0.053586635,3.734419063,9.018376664,6.913534675,-0.944261629,0.589361663,0.322818134
Pennisetum_violaceum,C4,0.172634417,0.577363131,3.701241243,5.776654396,2.791935041,-0.489456416,0.548148746,0.077614256,3.698819176,8.986865968,6.761976493,-1.063414078,0.614054509,0.61438371
Pogonarthria_squarrosa,C4,0.083966818,0.760923333,3.783898417,5.041205436,3.510974864,1.051818911,-0.101691702,-0.373249935,3.654370055,9.440546704,7.034004612,-1.213854804,0.276804798,0.450151662
Sacciolepis_striata,C3,0.187233419,0.910207326,3.728179333,5.745132116,2.806027645,-0.419749105,-0.005750018,0.037265338,3.8514179,10.01608473,7.445026516,-1.408028853,-0.664325405,-0.169257043
Secale_cereale,C3,0.153498715,0.939085151,3.750650745,5.563642454,2.940166789,-0.071999624,-0.162953351,-0.083082122,3.810773899,9.490640494,7.120278619,-1.211283257,-0.038405733,-0.110412775
Setaria_faberi,C4,0.152005954,0.681648829,3.732342284,5.514199369,3.092303799,0.100841178,0.261204265,-0.004521773,3.842888674,9.339675001,6.873829748,-1.306282423,0.022142648,-0.261709648
