"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Ceiba_pentandra2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Tilia_mongolica2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.75647700941089,1.22252136217869,"EcM","SRL",TRUE
"Tilia_mandshurica2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.75647700941089,1.22252136217869,"EcM","SRL",TRUE
"Tilia_cordata2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.75647699464769,1.22252141472134,"EcM","SRL",TRUE
"Tilia_oliveri2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.75647699464769,1.22252141472134,"EcM","SRL",TRUE
"Tilia_amurensis2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.75647699464769,1.22252141472134,"EcM","SRL",TRUE
"Tilia_americana2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.75647697988449,1.22252146726404,"EcM","SRL",TRUE
"Pterospermum_acerifolium2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Sterculia_lanceolata2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Sterculia_nobilis2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Theobroma_cacao2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Shorea_multiflora2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7789068058903,1.17973067006215,"EcM","SRL",TRUE
"Shorea_acuminata2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7789068058903,1.17973067006215,"EcM","SRL",TRUE
"Shorea_leprosula2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7789068058903,1.17973067006215,"EcM","SRL",TRUE
"Fumana_thymifolia2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890680745538,1.17973066955071,"EcM","SRL",TRUE
"Cistus_monspeliensis2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890680902046,1.17973066903929,"EcM","SRL",TRUE
"Cistus_libanotis2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890681058554,1.17973066852785,"EcM","SRL",TRUE
"Cistus_crispus2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890680745538,1.17973066955071,"EcM","SRL",TRUE
"Cistus_albidus2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890681058554,1.17973066852785,"EcM","SRL",TRUE
"Cistus_ladanifer2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7789068058903,1.17973067006215,"EcM","SRL",TRUE
"Cistus_salviifolius2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7789068058903,1.17973067006215,"EcM","SRL",TRUE
"Halimium_halimifolium2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7789068058903,1.17973067006215,"EcM","SRL",TRUE
