binominal,F00679,F00727
Calamus rhabdocladus,0.2187,103.2453571
Engelhardia roxburghiana,0.2007,109.69
Sterculia lanceolata,0.2757667,124.1122043
Cibotium barometz,0.24825,83.95513514
Psychotria asiatica,0.22545,94.5378
Castanopsis fissa,0.206975,123.0716216
Dicranopteris pedata,0.20445,80.98027027
Schima superba,0.2159,112.5094367
Machilus nanmu,0.439625,32.14708768
Syzygium jambos,0.22475,144.2353309
Blechnum orientale,0.2088,185.3453333
Elaeocarpus dubius,0.3381,40.48241379
Syzygium acuminatissimum,0.34,47.12491803
Schefflera heptaphylla,0.27055,157.4859091
Aporosa yunnanensis,0.26385,81.16178571
Caryota maxima,0.29225,57.57059687
Podocarpus neriifolius,0.2398667,106.9029829
Sorbus discolor,0.1932,127.9317391
Prunus alabamensis,0.1935,143.1475794
Eleutherococcus senticosus,0.2245,193.1835714
Deutzia grandiflora,0.4565,46.8823301
Nabalus tatarinowii,0.1784,342.7914286
Doellingeria scabra,0.2113,219.2008
Juglans mandshurica,0.2972333,56.65256117
Betula dahurica,0.3716667,61.94115385
Lespedeza bicolor,0.2449,138.6036364
Saussurea mongolica,0.2174,150.705102
Larix gmelinii,0.3311,46.3254009
Fraxinus chinensis,0.3622,47.05240566
Matteuccia struthiopteris,0.2915,95.76393258
Veratrum nigrum,0.39,92.22060241
Convallaria majalis,0.4366,83.10288557
Abelia biflora,0.5292,30.94705706
Asparagus schoberioides,0.3427,119.765
Agrimonia pilosa,0.2088,226.2263889
Veronica spuria,0.1867,226.9158333
Astilbe rubra,0.1717,216.4679545
Syringa reticulata,0.31645,83.5084058
Corylus sieboldiana,0.1873667,161.1786312
Quercus wutaishanica,0.3723,34.8373773
Populus cathayana,0.2108667,174.6927381
Aster tataricus,0.197,297.11
Acer pictum,0.3017,65.282
Vitis amurensis,0.3263,80.11659794
Prunus armeniaca,0.443,33.74603524
Populus cathayana,0.3844,135.8284967
Rubus crataegifolius,0.1511,283.6918182
Rhamnus davurica,0.1805,180.7463913
Spiraea pubescens,0.3721,150.1653333
Euonymus alatus,0.2840667,101.1982282
Galium aparine,0.1891,240.5986667
Deutzia grandiflora,0.20025,265.7504412
Saussurea nivea,0.2677,117.4566
Ulmus pumila,0.2159,133.5935135
Betula platyphylla,0.2703,73.47430164
Prunus padus,0.1471,246.2047059
Rosa acicularis,0.2912,55.8341358
Salix raddeana,0.1209,331.0473003
Salix viminalis,0.1407333,318.6970162
Rubus irritans,0.177,192.6685185
Spiraea dahurica,0.1222667,290.9055016
Populus cathayana,0.1566,216.1510417
Populus koreana,0.11565,404.583515
Juniperus sabina,0.3998,38.21711538
Larix gmelinii,0.3705,36.00470726
Pinus pumila,0.2823,53.1400472
Betula fruticosa,0.2803,48.76427618
Pinus sylvestris,0.2335,71.22180723
Sarcandra glabra,0.518375,31.84202629
Liquidambar formosana,0.3075667,45.51151685
Diplospora dubia,0.3013,83.34823529
Magnolia odora,0.5982,24.68228448
Styrax suberifolius,0.27965,54.45407407
Iris japonica,0.4238,68.55555556
Daphniphyllum pentandrum,0.2725333,63.17596899
Cinnamomum austrosinense,0.45255,28.12288557
Litsea elongata,0.3189333,48.22580247
Cinnamomum porrectum,0.40055,48.09963415
Rubus rosifolius,0.1182833,319.4613514
Chloranthus henryi,0.462,37.27738562
Magnolia chapensis,0.6367333,23.06436937
Dryopteris lepidopoda,0.1998667,122.6113953
