F00679,F00727,F00261,F00709,F00043,F00056,F00645,F00004,F01286,F01287,F01289,F01290
0.56075,25.2355661,13.761375,0.16,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Cornus,florida,Cornaceae,Cornales
0.92205,5.04244393,7.17675,0.33,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Cornus,florida,Cornaceae,Cornales
0.67,24.3812773,18.69375,0.124,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Diospyros,virginiana,Ebenaceae,Ericales
0.70125,17.1234128,16.252375,0.14,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Diospyros,virginiana,Ebenaceae,Ericales
1.03945,4.46405995,9.34525,0.27,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Diospyros,virginiana,Ebenaceae,Ericales
0.3215,38.9314865,22.201195,0.14,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Fraxinus,americana,Oleaceae,Lamiales
0.4355,22.9596276,19.0531475,0.2,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Fraxinus,americana,Oleaceae,Lamiales
0.958525,3.76041029,10.382075,0.37,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Fraxinus,americana,Oleaceae,Lamiales
0.578,20.1666095,21.7725,0.134,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Gleditsia,triacanthos,Fabaceae,Fabales
0.60225,17.2102884,21.44275,0.16,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Gleditsia,triacanthos,Fabaceae,Fabales
