binominal,F01286,F01287,F01289,F01290,F00004,F00043,F00645
Prunus sargentii,Prunus,sargentii,Rosaceae,Rosales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Styphnolobium japonicum,Styphnolobium,japonicum,Fabaceae,Fabales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Syringa reticulata,Syringa,reticulata,Oleaceae,Lamiales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Ulmus americana,Ulmus,americana,Ulmaceae,Rosales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Acer fabri,Acer,fabri,Sapindaceae,Sapindales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",C3,AM
Schima superba,Schima,superba,Theaceae,Ericales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",C3,AM
Choerospondias axillaris,Choerospondias,axillaris,Anacardiaceae,Sapindales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",C3,AM
Acer coriaceifolium,Acer,coriaceifolium,Sapindaceae,Sapindales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",,AM
Liquidambar formosana,Liquidambar,formosana,Altingiaceae,Saxifragales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",C3,AM
Elaeocarpus glabripetalus,Elaeocarpus,glabripetalus,Elaeocarpaceae,Oxalidales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",,AM
Alniphyllum fortunei,Alniphyllum,fortunei,Styracaceae,Ericales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",C3,AM
Cinnamomum porrectum,Cinnamomum,porrectum,Lauraceae,Laurales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",C3,AM
Cinnamomum austrosinense,Cinnamomum,austrosinense,Lauraceae,Laurales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",,AM
Machilus oculodracontis,Machilus,oculodracontis,Lauraceae,Laurales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",,AM
Magnolia yuyuanensis,Magnolia,yuyuanensis,Magnoliaceae,Magnoliales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",,AM
Neolitsea phanerophlebia,Neolitsea,phanerophlebia,Lauraceae,Laurales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",,AM
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",C3,AM
Podocarpus chinensis,Podocarpus,chinensis,Podocarpaceae,Pinales,"Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.",,AM
Ardisia quinquegona,Ardisia,quinquegona,Primulaceae,Ericales,"Wang J-J, Tharayil N, Chow AT, Suseela V, Zeng H. 2015. Phenolic profile within the fine-root branching orders of an evergreen species highlights a disconnect in root tissue quality predicted by elemental- and molecular-level carbon composition. New Phytologist 206: 1261-1273.",C3,
Magnolia macclurei,Magnolia,macclurei,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia yunnanensis,Magnolia,yunnanensis,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia lotungensis,Magnolia,lotungensis,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
