binominal,F01286,F01287,F00679,F00727
Sassafras albidum,Sassafras,albidum,0.546357592,16.483576665999998
Saussurea amurensis,Saussurea,amurensis,0.2011,245.9616667
Saussurea mongolica,Saussurea,mongolica,0.2174,150.705102
Saussurea nivea,Saussurea,nivea,0.2677,117.4566
Schefflera heptaphylla,Schefflera,heptaphylla,0.27055,157.4859091
Schefflera minutistellata,Schefflera,minutistellata,0.33263,37.91
Schima superba,Schima,superba,0.20551109999999997,139.6830414
Schima wallichii,Schima,wallichii,0.23986,98.43
Schoepfia jasminodora,Schoepfia,jasminodora,0.19095,81.48262136
Smilax trinervula,Smilax,trinervula,0.3091333,109.7159016
Solidago decurrens,Solidago,decurrens,0.248225,202.88375
Sorbus aucuparia,Sorbus,aucuparia,0.198026316,59.77889504
Sorbus discolor,Sorbus,discolor,0.203825,120.93926035
Spiraea dahurica,Spiraea,dahurica,0.1222667,290.9055016
Spiraea pubescens,Spiraea,pubescens,0.3721,150.1653333
Sterculia lanceolata,Sterculia,lanceolata,0.24482834999999997,98.13110215
Sterculia nobilis,Sterculia,nobilis,0.249752475,96.32
Strobilanthes dimorphotricha,Strobilanthes,dimorphotricha,0.2688,136.4411732
Strobilanthes villosum,Strobilanthes,villosum,0.2319556,187.4048069
Styphnolobium japonicum,Styphnolobium,japonicum,0.28424425,36.817559200000005
Styrax suberifolius,Styrax,suberifolius,0.27965,54.45407407
Syringa reticulata,Syringa,reticulata,0.2351224345,117.64142561666667
Syzygium acuminatissimum,Syzygium,acuminatissimum,0.34,47.12491803
Syzygium globiflorum,Syzygium,globiflorum,0.19611,40.88
Syzygium hancei,Syzygium,hancei,0.1397099185,94.50055374
Syzygium jambos,Syzygium,jambos,0.22475,144.2353309
Syzygium levinei,Syzygium,levinei,0.14634999999999998,122.6715
Syzygium szemaoense,Syzygium,szemaoense,0.195,59.37103448
Thalictrum simplex,Thalictrum,simplex,0.1997,259.0515625
Tilia amurensis,Tilia,amurensis,0.2074,131.046438
Tilia cordata,Tilia,cordata,0.312476868,33.15790831
Tilia mandshurica,Tilia,mandshurica,0.268273241,87.05811174
Tilia mongolica,Tilia,mongolica,0.186502347,68.711451
Tilia oliveri,Tilia,oliveri,0.206975,149.6261111
Trachelospermum axillare,Trachelospermum,axillare,0.2914,77.518501835
Ulmus americana,Ulmus,americana,0.159790555,71.7698153
Ulmus davidiana,Ulmus,davidiana,0.228679918,117.0544180325
Ulmus laciniata,Ulmus,laciniata,0.120857901,134.1510846
Ulmus macrocarpa,Ulmus,macrocarpa,0.222440945,65.21726451
Ulmus pumila,Ulmus,pumila,0.2162291555,114.54961012999999
Vaccinium corymbosum,Vaccinium,corymbosum,0.051033175,840.0962914
Vaccinium mandarinorum,Vaccinium,mandarinorum,0.07812,106.71
Veratrum nigrum,Veratrum,nigrum,0.3396,126.313532905
Veronica spuria,Veronica,spuria,0.1867,226.9158333
Viola pubescens,Viola,pubescens,5.1,0.5
Vitis amurensis,Vitis,amurensis,0.27505,104.01133692
Vitis vinifera,Vitis,vinifera,0.146488889,0.049300000000000004
Wendlandia uvariifolia,Wendlandia,uvariifolia,0.22417,45.27
