binominal,F01286,F01287,F01289,F01290,F00679,F00727,F00261,F00709
Juglans mandshurica,Juglans,mandshurica,Juglandaceae,Fagales,0.212903405,191.7611931,30.41138123,0.068148194
Juglans mandshurica,Juglans,mandshurica,Juglandaceae,Fagales,0.248848131,143.0225543,25.68392543,0.102963003
Fraxinus mandshurica,Fraxinus,mandshurica,Oleaceae,Lamiales,0.251613149,112.6198554,28.28933985,0.100000047
Fraxinus mandshurica,Fraxinus,mandshurica,Oleaceae,Lamiales,0.312442616,96.28791365,24.48063545,0.113333371
Phellodendron amurense,Phellodendron,amurense,Rutaceae,Sapindales,0.522580711,32.33185169,29.11553048,0.114074112
Phellodendron amurense,Phellodendron,amurense,Rutaceae,Sapindales,0.481106091,43.77707747,21.23758024,0.121481514
Chenopodium serotinum,Chenopodium,serotinum,Amaranthaceae,Caryophyllales,0.128382353,98.82889326,20.0,0.781655759
Cornus officinalis,Cornus,officinalis,Cornaceae,Cornales,0.404791173,29.36726272,14.9,0.264596802
Cornus bretschneideri,Cornus,bretschneideri,Cornaceae,Cornales,0.333528037,56.1492,19.7,0.203845839
Ardisia depressa,Ardisia,depressa,Primulaceae,Ericales,0.234375,64.31648438,16.7,0.360383799
Eurya japonica,Eurya,japonica,Pentaphylacaceae,Ericales,0.175657895,126.8491646,14.1,0.30314912
Diospyros strigosa,Diospyros,strigosa,Ebenaceae,Ericales,0.356122449,40.00319502,13.5,0.250967072
Barringtonia racemosa,Barringtonia,racemosa,Lecythidaceae,Ericales,0.48516129,16.30610484,12.9,0.331732186
Myrsine seguinii,Myrsine,seguinii,Primulaceae,Ericales,0.282291667,56.47293753,11.8,0.320954259
Betula albosinensis,Betula,albosinensis,Betulaceae,Fagales,0.210436893,57.21364621,23.4,0.502535489
Carpinus cordata,Carpinus,cordata,Betulaceae,Fagales,0.146527778,63.68610264,14.0,0.931162606
Quercus aliena,Quercus,aliena,Fagaceae,Fagales,0.145121951,88.85481998,19.0,0.680397825
Quercus variabilis,Quercus,variabilis,Fagaceae,Fagales,0.13962585,80.16390306,29.7,0.814703552
Quercus wutaishanica,Quercus,wutaishanica,Fagaceae,Fagales,0.130900621,78.57326541,18.6,0.945696778
Ginkgo biloba,Ginkgo,biloba,Ginkgoaceae,Ginkgoales,0.677,19.926,23.9,0.139
Fraxinus chinensis,Fraxinus,chinensis,Oleaceae,Lamiales,0.317857143,47.680269,19.1,0.264306278
Fraxinus chinensis,Fraxinus,chinensis,Oleaceae,Lamiales,0.4225,36.1542,20.5,0.197286758
Syringa reticulata,Syringa,reticulata,Oleaceae,Lamiales,0.285962567,105.8357065,25.5,0.147115875
Cryptocarya concinna,Cryptocarya,concinna,Lauraceae,Laurales,0.43775,33.09776591,23.4,0.200751656
Machilus breviflora,Machilus,breviflora,Lauraceae,Laurales,0.442438272,28.44444444,21.9,0.228669002
Ocotea lancifolia,Ocotea,lancifolia,Lauraceae,Laurales,0.339660494,37.86637931,26.2,0.291451485
Cinnamomum camphora,Cinnamomum,camphora,Lauraceae,Laurales,0.4109375,72.38667315,29.1,0.104159757
Lindera communis,Lindera,communis,Lauraceae,Laurales,0.395,38.76733436,20.5,0.21049898
Goniothalamus griffithii,Goniothalamus,griffithii,Annonaceae,Magnoliales,0.614634146,16.58542002,18.1,0.203212437
Liriodendron chinense,Liriodendron,chinense,Magnoliaceae,Magnoliales,0.585,23.294,21.6,0.16
Magnolia championii,Magnolia,championii,Magnoliaceae,Magnoliales,0.543,31.403,24.9,0.138
Magnolia macclurei,Magnolia,macclurei,Magnoliaceae,Magnoliales,0.485119048,27.7767778,22.6,0.165748844
Magnolia maudiae,Magnolia,maudiae,Magnoliaceae,Magnoliales,0.583,27.663,22.3,0.135
Magnolia ernestii,Magnolia,ernestii,Magnoliaceae,Magnoliales,0.813,13.978,26.75,0.138
Magnolia odora,Magnolia,odora,Magnoliaceae,Magnoliales,0.591,18.5,27.3,0.197
Knema erratica,Knema,erratica,Myristicaceae,Magnoliales,0.848165138,4.774158719,11.3,0.370725481
Populus cathayana,Populus,cathayana,Salicaceae,Malpighiales,0.145,110.6739334,17.6,0.547178187
Macaranga sampsonii,Macaranga,sampsonii,Euphorbiaceae,Malpighiales,0.20530303,159.4340401,27.8,0.189469084
Tilia mandshurica,Tilia,mandshurica,Malvaceae,Malvales,0.3544,75.74224494,20.2,0.133839568
Tilia mongolica,Tilia,mongolica,Malvaceae,Malvales,0.186502347,68.711451,22.0,0.532736437
Memecylon nigrescens,Memecylon,nigrescens,Melastomataceae,Myrtales,0.20275974,88.05012329,16.2,0.351735907
Syzygium hancei,Syzygium,hancei,Myrtaceae,Myrtales,0.133739837,88.70110748,19.3,0.802526722
Syzygium levinei,Syzygium,levinei,Myrtaceae,Myrtales,0.174,126.493,15.8,0.333
Larix gmelinii,Larix,gmelinii,Pinaceae,Pinales,0.322222222,41.727,11.53333333,0.293888091
Picea meyeri,Picea,meyeri,Pinaceae,Pinales,0.279044118,48.49432024,16.3,0.337189084
Picea wilsonii,Picea,wilsonii,Pinaceae,Pinales,0.264039409,66.49294054,13.9,0.274661055
Pinus armandii,Pinus,armandii,Pinaceae,Pinales,0.268060201,43.01400822,14.0,0.41194149
Pinus tabuliformis,Pinus,tabuliformis,Pinaceae,Pinales,0.314384921,37.3905492,16.4,0.344528273
Dacrycarpus imbricatus,Dacrycarpus,imbricatus,Podocarpaceae,Pinales,0.489705882,38.3874209,17.2,0.138309035
Ulmus macrocarpa,Ulmus,macrocarpa,Ulmaceae,Rosales,0.222440945,65.21726451,17.9,0.39456457
Ulmus davidiana,Ulmus,davidiana,Ulmaceae,Rosales,0.25474537,61.11342593,25.1,0.321041293
Malus baccata,Malus,baccata,Rosaceae,Rosales,0.235897436,71.42969735,19.0,0.320320604
Pyrus betulifolia,Pyrus,betulifolia,Rosaceae,Rosales,0.476089015,17.68724614,12.0,0.317594947
Sorbus aucuparia,Sorbus,aucuparia,Rosaceae,Rosales,0.198026316,59.77889504,18.4,0.543145802
Aphanamixis polystachya,Aphanamixis,polystachya,Meliaceae,Sapindales,0.173529412,172.2821657,24.9,0.396769825
Dysoxylum excelsum,Dysoxylum,excelsum,Meliaceae,Sapindales,0.886523438,9.100844511,22.3,0.178011471
Acronychia pedunculata,Acronychia,pedunculata,Rutaceae,Sapindales,0.294,91.167,22.0,0.162
Canarium album,Canarium,album,Burseraceae,Sapindales,0.211538462,77.80496427,23.1,0.365699305
Acer davidii,Acer,davidii,Sapindaceae,Sapindales,0.238794886,108.3036705,19.4,0.206165935
Acer truncatum,Acer,truncatum,Sapindaceae,Sapindales,0.257219251,59.2477843,18.6,0.324811257
Rhodoleia championii,Rhodoleia,championii,Hamamelidaceae,Saxifragales,0.305,46.556,14.6,0.294
Dicranopteris linearis,Dicranopteris,linearis,Gleicheniaceae,Gleicheniales,0.1968,75.1,10.87719544,0.6
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,0.28647,60.96,33.15789977,0.22
Gordonia axillaris,Gordonia,axillaris,Theaceae,Ericales,0.5399,17.68,9.298260735,0.36
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales,0.55809,48.68,19.47369865,0.21
Magnolia baillonii,Magnolia,baillonii,Magnoliaceae,Magnoliales,0.5745,19.33,25.26316962,0.28
Endospermum chinense,Endospermum,chinense,Euphorbiaceae,Malpighiales,0.74889,6.57,28.24562376,0.28
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales,0.98223,7.51,25.08773159,0.2
Acer negundo,Acer,negundo,Sapindaceae,Sapindales,0.24,39.3,22.14248419,0.55
Acer negundo,Acer,negundo,Sapindaceae,Sapindales,0.22,45.8,16.44802451,0.56
Acer negundo,Acer,negundo,Sapindaceae,Sapindales,0.22,48.47,16.537323,0.54
Acer rubrum,Acer,rubrum,Sapindaceae,Sapindales,0.24,42.25,15.42036653,0.53
Acer rubrum,Acer,rubrum,Sapindaceae,Sapindales,0.27,46.63,12.43200898,0.39
Acer rubrum,Acer,rubrum,Sapindaceae,Sapindales,0.26,49.71,16.81267142,0.39
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,0.23,39.96,14.41351175,0.58
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,0.2,50.14,14.09827948,0.63
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,0.24,45.17,14.58138943,0.49
Carya glabra,Carya,glabra,Juglandaceae,Fagales,0.16,81.28,14.70003724,0.58
Carya glabra,Carya,glabra,Juglandaceae,Fagales,0.14,92.64,20.3528142,0.74
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,0.32,14.34,20.67122459,0.85
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,0.25,24.87,21.43324137,0.83
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,0.27,21.37,19.09815311,0.81
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,0.66,10.2,26.07879639,0.28
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,0.68,7.55,11.86635017,0.36
Pinus strobus,Pinus,strobus,Pinaceae,Pinales,0.19,58.7,17.9006207,0.61
Pinus strobus,Pinus,strobus,Pinaceae,Pinales,0.28,23.6,14.67792869,0.67
Pinus strobus,Pinus,strobus,Pinaceae,Pinales,0.31,18.02,12.26255655,0.74
Pinus virginiana,Pinus,virginiana,Pinaceae,Pinales,0.21,34.31,21.1862278,0.84
Pinus virginiana,Pinus,virginiana,Pinaceae,Pinales,0.25,29.62,11.13587379,0.69
Populus tremuloides,Populus,tremuloides,Salicaceae,Malpighiales,0.17,61.61,9.270367026,0.68
Populus tremuloides,Populus,tremuloides,Salicaceae,Malpighiales,0.16,64.89,12.43589044,0.73
Populus tremuloides,Populus,tremuloides,Salicaceae,Malpighiales,0.17,68.97,16.1525166,0.61
Quercus alba,Quercus,alba,Fagaceae,Fagales,0.21,37.93,15.71197987,0.74
Quercus alba,Quercus,alba,Fagaceae,Fagales,0.16,81.12,13.62918139,0.61
Quercus rubra,Quercus,rubra,Fagaceae,Fagales,0.15,70.28,20.90657949,0.86
Quercus rubra,Quercus,rubra,Fagaceae,Fagales,0.15,67.37,14.02217627,0.82
Quercus rubra,Quercus,rubra,Fagaceae,Fagales,0.2,54.94,16.25705004,0.57
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales,0.44,14.07,22.4887085,0.46
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales,0.56,15.15,18.45722437,0.27
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales,0.62,12.17,16.32878423,0.27
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales,0.43,13.8,11.5,0.056
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales,0.375308898,13.59336325,11.21897948,0.072500051
