binominal,F01286,F01287,F01289,F01290,state
Clusia elliptica,Clusia,elliptica,Clusiaceae,Malpighiales,AM
Coccoloba excelsa,Coccoloba,excelsa,Polygonaceae,Caryophyllales,EcM
Coccoloba manzinellensis,Coccoloba,manzinellensis,Polygonaceae,Caryophyllales,EcM
Comandra umbellata,Comandra,umbellata,Santalaceae,Santalales,AM
Combretum collinum,Combretum,collinum,Combretaceae,Myrtales,AM
Combretum decandrum,Combretum,decandrum,Combretaceae,Myrtales,AM
Convallaria majalis,Convallaria,majalis,Asparagaceae,Asparagales,AM
Coprosma ciliata,Coprosma,ciliata,Rubiaceae,Gentianales,AM
Coprosma foetidissima,Coprosma,foetidissima,Rubiaceae,Gentianales,AM
Coprosma linariifolia,Coprosma,linariifolia,Rubiaceae,Gentianales,AM
Coprosma lucida,Coprosma,lucida,Rubiaceae,Gentianales,AM
Coprosma rhamnoides,Coprosma,rhamnoides,Rubiaceae,Gentianales,AM
Cordiera myrciifolia,Cordiera,myrciifolia,Rubiaceae,Gentianales,AM
Coreopsis palmata,Coreopsis,palmata,Asteraceae,Asterales,AM
Coriaria arborea,Coriaria,arborea,Coriariaceae,Cucurbitales,AM
Coriaria nepalensis,Coriaria,nepalensis,Coriariaceae,Cucurbitales,AM
Cornus bretschneideri,Cornus,bretschneideri,Cornaceae,Cornales,AM
Cornus controversa,Cornus,controversa,Cornaceae,Cornales,AM
Cornus florida,Cornus,florida,Cornaceae,Cornales,AM
Cornus kousa,Cornus,kousa,Cornaceae,Cornales,AM
Cornus officinalis,Cornus,officinalis,Cornaceae,Cornales,AM
Cornus ulotricha,Cornus,ulotricha,Cornaceae,Cornales,AM
Coronilla juncea,Coronilla,juncea,Fabaceae,Fabales,AM
Coronilla minima,Coronilla,minima,Fabaceae,Fabales,AM
Corylus ferox,Corylus,ferox,Betulaceae,Fagales,EcM
Corylus sieboldiana,Corylus,sieboldiana,Betulaceae,Fagales,EcM
Corynocarpus laevigatus,Corynocarpus,laevigatus,Corynocarpaceae,Cucurbitales,AM
Corythophora alta,Corythophora,alta,Lecythidaceae,Ericales,NMAM
Cotoneaster acutifolius,Cotoneaster,acutifolius,Rosaceae,Rosales,AM
Cotoneaster adpressus,Cotoneaster,adpressus,Rosaceae,Rosales,AM
Cotoneaster multiflorus,Cotoneaster,multiflorus,Rosaceae,Rosales,AM
Couepia magnoliifolia,Couepia,magnoliifolia,Chrysobalanaceae,Malpighiales,AM
Cranfillia fluviatilis,Cranfillia,fluviatilis,Blechnaceae,Polypodiales,
Crataegus monogyna,Crataegus,monogyna,Rosaceae,Rosales,AM
Crataegus pinnatifida,Crataegus,pinnatifida,Rosaceae,Rosales,AM
Cratoxylum cochinchinense,Cratoxylum,cochinchinense,Hypericaceae,Malpighiales,AM
Crepis foetida,Crepis,foetida,Asteraceae,Asterales,AM
Crepis tectorum,Crepis,tectorum,Asteraceae,Asterales,AM
Critoniopsis floribunda,Critoniopsis,floribunda,Asteraceae,Asterales,AM
Critoniopsis pycnantha,Critoniopsis,pycnantha,Asteraceae,Asterales,AM
Croton kongensis,Croton,kongensis,Euphorbiaceae,Malpighiales,AM
Cryptocarya acutifolia,Cryptocarya,acutifolia,Lauraceae,Laurales,AM
Cryptocarya brachythyrsa,Cryptocarya,brachythyrsa,Lauraceae,Laurales,AM
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales,AM
Cryptocarya concinna,Cryptocarya,concinna,Lauraceae,Laurales,AM
Cryptocarya yunnanensis,Cryptocarya,yunnanensis,Lauraceae,Laurales,AM
Cryptomeria japonica,Cryptomeria,japonica,Cupressaceae,Cupressales,AM
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Cupressales,AM
Cyathea smithii,Cyathea,smithii,Cyatheaceae,Cyatheales,AM
Cycas nathorstii,Cycas,nathorstii,Cycadaceae,Cycadales,AM
