binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Palicourea virens,Palicourea,virens,Rubiaceae,Gentianales,AM,FRED4,"['Uragoga virens', 'Psychotria virens']"
Panicum capillare,Panicum,capillare,Poaceae,Poales,NMAM,Maherali et. al. 2016,"['Chasea capillaris', 'Leptoloma capillare']"
Panicum virgatum,Panicum,virgatum,Poaceae,Poales,AM,FRED4,"['Chasea virgata', 'Milium virgatum']"
Pappobolus microphyllus,Pappobolus,microphyllus,Asteraceae,Asterales,,,"['Leighia microphylla', 'Helianthopsis microphylla', 'Viguiera microphylla', 'Helianthus microphyllus']"
Parablechnum novae-zelandiae,Parablechnum,novae-zelandiae,Blechnaceae,Polypodiales,AM,FRED4,
Parablechnum procerum,Parablechnum,procerum,Blechnaceae,Polypodiales,AM,FRED4,
Parthenocissus quinquefolia,Parthenocissus,quinquefolia,Vitaceae,Vitales,AM,FRED4,"['Quinaria quinquefolia', 'Psedera quinquefolia', 'Cissus quinquefolia', 'Ampelopsis quinquefolia', 'Vitis quinquefolia', 'Hedera quinquefolia']"
Payena microphylla,Payena,microphylla,Sapotaceae,Ericales,AM,FRED4,['Isonandra microphylla']
Pectinopitys ferruginea,Pectinopitys,ferruginea,Podocarpaceae,Pinales,AM,FRED4,"['Nageia ferruginea', 'Prumnopitys ferruginea', 'Stachycarpus ferrugineus', 'Stachypitys ferruginea', 'Podocarpus ferrugineus']"
Pennantia corymbosa,Pennantia,corymbosa,Pennantiaceae,Apiales,AM,FRED4,
Penstemon bradburyi,Penstemon,bradburyi,Plantaginaceae,Lamiales,,,['Chelone bradburyi']
Penstemon confertus,Penstemon,confertus,Plantaginaceae,Lamiales,,,
Penstemon nitidus,Penstemon,nitidus,Plantaginaceae,Lamiales,AM,FungalRoot,
Penstemon procerus,Penstemon,procerus,Plantaginaceae,Lamiales,AM,FungalRoot,['Penstemon confertus var. procerus']
Pentaphylax euryoides,Pentaphylax,euryoides,Pentaphylacaceae,Ericales,AM,FRED4,
Pentaspadon motleyi,Pentaspadon,motleyi,Anacardiaceae,Sapindales,,,
Persea areolatocostae,Persea,areolatocostae,Lauraceae,Laurales,,,"['Cinnamomum areolatocostae', 'Phoebe areolatocostae']"
Persea ferruginea,Persea,ferruginea,Lauraceae,Laurales,,,
Persea weberbaueri,Persea,weberbaueri,Lauraceae,Laurales,,,
Phalaris arundinacea,Phalaris,arundinacea,Poaceae,Poales,NMAM,FRED4,"['Baldingera arundinacea', 'Calamagrostis colorata', 'Phalaroides arundinacea', 'Phalaridantha arundinacea', 'Typhoides arundinacea', 'Digraphis arundinacea', 'Baldingera colorata']"
Phellodendron amurense,Phellodendron,amurense,Rutaceae,Sapindales,AM,FRED4,
Philadelphus incanus,Philadelphus,incanus,Hydrangeaceae,Cornales,AM,FungalRoot,
Phillyrea angustifolia,Phillyrea,angustifolia,Oleaceae,Lamiales,AM,FRED4,"['Phillyrea media var. angustifolia', 'Olea angustifolia', 'Phillyrea variabilis var. angustifolia', 'Phillyrea vulgaris var. angustifolia', 'Phillyrea mucronata var. linearis']"
Phillyrea latifolia,Phillyrea,latifolia,Oleaceae,Lamiales,AM,FRED4,"['Olea latifolia', 'Phillyrea angustifolia subsp. latifolia', 'Phillyrea vulgaris var. latifolia', 'Phillyrea variabilis var. latifolia']"
Phleum pratense,Phleum,pratense,Poaceae,Poales,NMAM,FRED4,"['Stelephuros pratensis', 'Plantinia pratensis', 'Phleum nodosum var. pratense']"
Phlomis purpurea,Phlomis,purpurea,Lamiaceae,Lamiales,AM,FRED4,
Phlomoides umbrosa,Phlomoides,umbrosa,Lamiaceae,Lamiales,AM,FRED4,['Phlomis umbrosa']
Phlox hoodii,Phlox,hoodii,Polemoniaceae,Ericales,AM,FungalRoot,"['Fonna hoodii', 'Armeria hoodii']"
Phoebe lanceolata,Phoebe,lanceolata,Lauraceae,Laurales,AM,Maherali et. al. 2016,['Ocotea lanceolata']
Phoebe puwenensis,Phoebe,puwenensis,Lauraceae,Laurales,AM,FungalRoot,
Phyllocladus hypophyllus,Phyllocladus,hypophyllus,Podocarpaceae,Araucariales,AM,FRED4,['Podocarpus hypophyllus']
Phyllocladus trichomanoides,Phyllocladus,trichomanoides,Podocarpaceae,Araucariales,AM,FRED4,['Podocarpus trichomanoides']
Physalis virginiana,Physalis,virginiana,Solanaceae,Solanales,,,
Picea abies,Picea,abies,Pinaceae,Pinales,EcM,FRED4,"['Pinus abies', 'Abies picea']"
Picea koraiensis,Picea,koraiensis,Pinaceae,Pinales,EcM,FRED4,['Picea koyamae var. koraiensis']
Picea meyeri,Picea,meyeri,Pinaceae,Pinales,EcM,FRED4,
Picea wilsonii,Picea,wilsonii,Pinaceae,Pinales,EcM,FRED4,
Picramnia latifolia,Picramnia,latifolia,Picramniaceae,Picramniales,,,
Picrasma longistaminea,Picrasma,longistaminea,Simaroubaceae,Sapindales,,,
Picris hieracioides,Picris,hieracioides,Asteraceae,Asterales,AM,FRED4,['Crepis hieracioides']
Pilosella officinarum,Pilosella,officinarum,Asteraceae,Asterales,AM,FRED4,['Hieracium pilosella']
Pinus armandii,Pinus,armandii,Pinaceae,Pinales,EcM,FRED4,
Pinus elliottii,Pinus,elliottii,Pinaceae,Pinales,EcM,FRED4,
Pinus koraiensis,Pinus,koraiensis,Pinaceae,Pinales,EcM,FRED4,"['Apinus koraiensis', 'Strobus koraiensis']"
Pinus massoniana,Pinus,massoniana,Pinaceae,Pinales,EcM,FRED4,['Pinea massoniana']
Pinus nigra,Pinus,nigra,Pinaceae,Pinales,EcM,FRED4,"['Pinus nigricans subsp. nigra', 'Pinus laricio var. nigra', 'Pinus laricio subsp. nigra']"
Pinus pinea,Pinus,pinea,Pinaceae,Pinales,EcM,FRED4,['Apinus pinea']
Pinus pumila,Pinus,pumila,Pinaceae,Pinales,EcM,FRED4,"['Pinus cembra var. pumila', 'Pinus cembra subsp. pumila']"
Pinus pungens,Pinus,pungens,Pinaceae,Pinales,EcM,FRED4,
Pinus resinosa,Pinus,resinosa,Pinaceae,Pinales,EcM,FRED4,
Pinus strobus,Pinus,strobus,Pinaceae,Pinales,EcM,FRED4,"['Leucopitys strobus', 'Strobus weymouthiana']"
Pinus sylvestris,Pinus,sylvestris,Pinaceae,Pinales,EcM,FRED4,
Pinus tabuliformis,Pinus,tabuliformis,Pinaceae,Pinales,EcM,FRED4,['Pinus densiflora var. tabuliformis']
Pinus virginiana,Pinus,virginiana,Pinaceae,Pinales,EcM,FRED4,
Piper arboreum,Piper,arboreum,Piperaceae,Piperales,,,
Pistacia chinensis,Pistacia,chinensis,Anacardiaceae,Sapindales,AM,FRED4,
Pistacia lentiscus,Pistacia,lentiscus,Anacardiaceae,Sapindales,AM,FRED4,"['Lentiscus vulgaris', 'Terebinthus lentiscus']"
Pistacia terebinthus,Pistacia,terebinthus,Anacardiaceae,Sapindales,AM,FRED4,['Terebinthus vulgaris']
Pittosporum eugenioides,Pittosporum,eugenioides,Pittosporaceae,Apiales,AM,FRED4,
Pittosporum tenuifolium,Pittosporum,tenuifolium,Pittosporaceae,Apiales,AM,FRED4,
Plagianthus regius,Plagianthus,regius,Malvaceae,Malvales,AM,FRED4,"['Betula bella', 'Philippodendrum regium']"
Planchonella grandifolia,Planchonella,grandifolia,Sapotaceae,Ericales,,,"['Lucuma grandifolia', 'Sideroxylon grandifolium', 'Pouteria grandifolia']"
Plantago lanceolata,Plantago,lanceolata,Plantaginaceae,Lamiales,AM,FRED4,"['Lagopus lanceolatus', 'Arnoglossum lanceolatum']"
Plantago patagonica,Plantago,patagonica,Plantaginaceae,Lamiales,,,
Platanus acerifolia,Platanus,acerifolia,Platanaceae,Proteales,AM,FungalRoot,
Platanus occidentalis,Platanus,occidentalis,Platanaceae,Proteales,AM,FRED4,"['Platanus vulgaris var. angulosa', 'Platanus vulgaris proles occidentalis', 'Platanus orientalis var. occidentalis']"
Platycladus orientalis,Platycladus,orientalis,Cupressaceae,Cupressales,AM,FRED4,"['Thuja orientalis', 'Biota orientalis']"
Platypodium elegans,Platypodium,elegans,Fabaceae,Fabales,AM,FRED4,['Callisemaea elegans']
Pleioblastus amarus,Pleioblastus,amarus,Poaceae,Poales,,,['Arundinaria amara']
Pleroma ochypetalum,Pleroma,ochypetalum,Melastomataceae,Myrtales,,,"['Lasiandra ochypetala', 'Tibouchina ochypetala', 'Rhexia ochypetala']"
Poa cusickii,Poa,cusickii,Poaceae,Poales,AM,FungalRoot,
Poa nemoralis,Poa,nemoralis,Poaceae,Poales,AM,FRED4,"['Poa serotina var. nemoralis', 'Poa angustifolia var. nemoralis', 'Paneion nemorale']"
Poa pratensis,Poa,pratensis,Poaceae,Poales,AM,FRED4,"['Poa angustifolia var. pratensis', 'Poa angustifolia subsp. pratensis', 'Paneion pratense']"
Podocarpus gibbsii,Podocarpus,gibbsii,Podocarpaceae,Araucariales,AM,FRED4,
Podocarpus laetus,Podocarpus,laetus,Podocarpaceae,Araucariales,AM,FRED4,['Nageia laeta']
Podocarpus neriifolius,Podocarpus,neriifolius,Podocarpaceae,Araucariales,AM,FRED4,"['Nageia neriifolia', 'Margbensonia neriifolia']"
Podocarpus oleifolius,Podocarpus,oleifolius,Podocarpaceae,Araucariales,,,['Nageia oleifolia']
Podocarpus totara,Podocarpus,totara,Podocarpaceae,Araucariales,AM,FRED4,['Nageia totara']
Podophyllum peltatum,Podophyllum,peltatum,Berberidaceae,Ranunculales,AM,Maherali et. al. 2016,
Polyspora axillaris,Polyspora,axillaris,Theaceae,Ericales,AM,FRED4,"['Camellia axillaris', 'Gordonia axillaris', 'Lasianthus axillaris']"
Polystichum chilense,Polystichum,chilense,Dryopteridaceae,Polypodiales,AM,FRED4,
Pometia pinnata,Pometia,pinnata,Sapindaceae,Sapindales,NMAM,Maherali et. al. 2016,"['Aporetica pinnata', 'Dabanus pinnatus', 'Nephelium pinnatum', 'Euphoria pinnata']"
Populus alba,Populus,alba,Salicaceae,Malpighiales,EcM,FRED4,['Leuce alba']
Populus cathayana,Populus,cathayana,Salicaceae,Malpighiales,EcMAM,FRED4,
Populus deltoides,Populus,deltoides,Salicaceae,Malpighiales,AM,FRED4,
Populus grandidentata,Populus,grandidentata,Salicaceae,Malpighiales,EcMAM,FRED4,['Populus tremula subsp. grandidentata']
Populus suaveolens,Populus,suaveolens,Salicaceae,Malpighiales,EcMAM,FRED4,['Populus balsamifera var. suaveolens']
Populus tremula,Populus,tremula,Salicaceae,Malpighiales,EcM,FRED4,['Tremula vulgaris']
Populus tremuloides,Populus,tremuloides,Salicaceae,Malpighiales,AM,FRED4,['Populus tremula subsp. tremuloides']
Populus trichocarpa,Populus,trichocarpa,Salicaceae,Malpighiales,EcM,Maherali et. al. 2016,
Potentilla acaulis,Potentilla,acaulis,Rosaceae,Rosales,AM,FRED4,['Potentilla verna subsp. acaulis']
Potentilla indica,Potentilla,indica,Rosaceae,Rosales,AM,FRED4,"['Fragaria indica', 'Duchesnea indica']"
Potentilla pusilla,Potentilla,pusilla,Rosaceae,Rosales,AM,FRED4,"['Potentilla verna var. pusilla', 'Potentilla verna f. pusilla', 'Potentilla tabernaemontani subvar. pusilla']"
Potentilla tenacetifolia,Potentilla,tenacetifolia,Rosaceae,Rosales,AM,FRED4,
Pourouma cecropiifolia,Pourouma,cecropiifolia,Urticaceae,Rosales,,,
Pouteria austin-smithii,Pouteria,austin-smithii,Sapotaceae,Ericales,,,['Lucuma austin-smithii']
Pouteria caimito,Pouteria,caimito,Sapotaceae,Ericales,AM,FRED4,"['Guapeba caimito', 'Labatia caimito', 'Lucuma caimito', 'Achras caimito']"
Pouteria cuspidata,Pouteria,cuspidata,Sapotaceae,Ericales,AM,FRED4,['Sideroxylon cuspidatum']
Prasoxylon excelsum,Prasoxylon,excelsum,Meliaceae,Sapindales,AM,FRED4,"['Macrochiton excelsum', 'Hartighsea excelsa', 'Dysoxylum excelsum', 'Trichilia excelsa']"
Prionostemma aspera,Prionostemma,aspera,Celastraceae,Celastrales,AM,FRED4,['Hippocratea aspera']
Protium altsonii,Protium,altsonii,Burseraceae,Sapindales,AM,FRED4,
Protium amazonicum,Protium,amazonicum,Burseraceae,Sapindales,AM,FRED4,['Paraprotium amazonicum']
Protium apiculatum,Protium,apiculatum,Burseraceae,Sapindales,AM,FRED4,
Protium aracouchini,Protium,aracouchini,Burseraceae,Sapindales,AM,FRED4,"['Bursera eracouchii', 'Bursera aracouchini', 'Icica aracouchini']"
Protium calanense,Protium,calanense,Burseraceae,Sapindales,AM,FRED4,
Protium calendulinum,Protium,calendulinum,Burseraceae,Sapindales,AM,FRED4,
Protium crassipetalum,Protium,crassipetalum,Burseraceae,Sapindales,AM,FRED4,
Protium decandrum,Protium,decandrum,Burseraceae,Sapindales,AM,FRED4,"['Elemifera decandra', 'Bursera decandra', 'Icica decandra', 'Amyris decandra', 'Elaphrium decandrum']"
Protium divaricatum,Protium,divaricatum,Burseraceae,Sapindales,AM,FRED4,
Protium elegans,Protium,elegans,Burseraceae,Sapindales,AM,FRED4,['Tingulonga elegans']
Protium ferrugineum,Protium,ferrugineum,Burseraceae,Sapindales,AM,FRED4,"['Icicopsis ferruginea', 'Tingulonga ferruginea', 'Paraprotium ferrugineum']"
Protium gallosum,Protium,gallosum,Burseraceae,Sapindales,AM,FRED4,
Protium giganteum,Protium,giganteum,Burseraceae,Sapindales,AM,FungalRoot,['Tingulonga gigantea']
Protium grandifolium,Protium,grandifolium,Burseraceae,Sapindales,AM,FRED4,['Tingulonga grandifolia']
Protium hebetatum,Protium,hebetatum,Burseraceae,Sapindales,AM,FRED4,
Protium heptaphyllum,Protium,heptaphyllum,Burseraceae,Sapindales,AM,FRED4,"['Tingulonga heptaphylla', 'Icica heptaphylla', 'Elaphrium heptaphyllum']"
Protium laxiflorum,Protium,laxiflorum,Burseraceae,Sapindales,AM,FRED4,['Tingulonga laxiflora']
Protium occultum,Protium,occultum,Burseraceae,Sapindales,AM,FRED4,
Protium opacum,Protium,opacum,Burseraceae,Sapindales,AM,FRED4,
Protium paniculatum,Protium,paniculatum,Burseraceae,Sapindales,AM,FRED4,['Tingulonga paniculata']
Protium pilosissimum,Protium,pilosissimum,Burseraceae,Sapindales,AM,FRED4,['Tingulonga pilosissima']
Protium pilosum,Protium,pilosum,Burseraceae,Sapindales,AM,FRED4,['Tetragastris pilosa']
Protium sagotianum,Protium,sagotianum,Burseraceae,Sapindales,AM,FungalRoot,
Protium spruceanum,Protium,spruceanum,Burseraceae,Sapindales,AM,FRED4,"['Tingulonga spruceana', 'Icica spruceana']"
Protium strumosum,Protium,strumosum,Burseraceae,Sapindales,AM,FRED4,
Protium subserratum,Protium,subserratum,Burseraceae,Sapindales,AM,FRED4,"['Tingulonga subserrata', 'Icicopsis subserrata']"
Protium tenuifolium,Protium,tenuifolium,Burseraceae,Sapindales,AM,FRED4,"['Tingulonga tenuifolia', 'Icicopsis tenuifolia']"
Protium trifoliolatum,Protium,trifoliolatum,Burseraceae,Sapindales,AM,FRED4,['Tingulonga trifoliolata']
Protium unifoliolatum,Protium,unifoliolatum,Burseraceae,Sapindales,AM,FRED4,['Tetragastris unifoliolata']
Protium urophyllidium,Protium,urophyllidium,Burseraceae,Sapindales,AM,FRED4,
Prumnopitys montana,Prumnopitys,montana,Podocarpaceae,Araucariales,,,"['Torreya montana', 'Van-tieghemia montana', 'Podocarpus montanus', 'Botryopitys montana', 'Nageia montana', 'Taxus montana']"
Prumnopitys taxifolia,Prumnopitys,taxifolia,Podocarpaceae,Araucariales,AM,FRED4,['Dacrydium taxifolium']
Prunus armeniaca,Prunus,armeniaca,Rosaceae,Rosales,AM,FRED4,"['Prunus armeniaca subsp. vulgaris', 'Amygdalus armeniaca', 'Armeniaca vulgaris']"
Prunus avium,Prunus,avium,Rosaceae,Rosales,NMAM,FRED4,"['Cerasus avium var. juliana', 'Druparia avium', 'Cerasus avium', 'Prunus cerasus subsp. avium', 'Prunus cerasus var. avium']"
Prunus herthae,Prunus,herthae,Rosaceae,Rosales,,,
Prunus opaca,Prunus,opaca,Rosaceae,Rosales,,,"['Cerasus opaca', 'Lauro-cerasus opaca']"
Prunus padus,Prunus,padus,Rosaceae,Rosales,EcMAM,FRED4,"['Druparia padus', 'Cerasus padus', 'Padus avium']"
Prunus sargentii,Prunus,sargentii,Rosaceae,Rosales,AM,FRED4,['Cerasus sargentii']
Prunus serotina,Prunus,serotina,Rosaceae,Rosales,AM,FRED4,"['Padus serotina', 'Cerasus serotina']"
Pseudodictamnus hirsutus,Pseudodictamnus,hirsutus,Lamiaceae,Lamiales,,,['Marrubium hirsutum']
Pseudodiphasium volubile,Pseudodiphasium,volubile,Lycopodiaceae,Lycopodiales,AM,FRED4,
Pseudolmedia laevigata,Pseudolmedia,laevigata,Moraceae,Rosales,AM,FRED4,
Pseudolmedia laevis,Pseudolmedia,laevis,Moraceae,Rosales,AM,FRED4,['Olmedia laevis']
Pseudolmedia rigida,Pseudolmedia,rigida,Moraceae,Rosales,,,['Olmedia rigida']
Pseudopanax crassifolius,Pseudopanax,crassifolius,Araliaceae,Apiales,AM,FRED4,"['Hedera crassifolia', 'Aralia crassifolia', 'Panax crassifolius']"
Pseudotsuga menziesii,Pseudotsuga,menziesii,Pinaceae,Pinales,EcM,FRED4,['Abies menziesii']
Pseudowintera colorata,Pseudowintera,colorata,Winteraceae,Canellales,AM,FRED4,"['Drimys axillaris var. colorata', 'Wintera colorata', 'Drimys colorata']"
Pseuduvaria trimera,Pseuduvaria,trimera,Annonaceae,Magnoliales,NM,FungalRoot,['Mitrephora trimera']
Psychotria asiatica,Psychotria,asiatica,Rubiaceae,Gentianales,AM,FRED4,['Psychotrophum asiaticum']
Psychotria rhombibractea,Psychotria,rhombibractea,Rubiaceae,Gentianales,AM,FRED4,
Pteridium aquilinum,Pteridium,aquilinum,Dennstaedtiaceae,Polypodiales,AM,FRED4,"['Eupteris aquilina', 'Filix aquilina', 'Cincinalis aquilina', 'Paesia aquilina', 'Asplenium aquilinum', 'Filix-foemina aquilina', 'Pteris aquilina', 'Ornithopteris aquilina', 'Allosorus aquilinus']"
Pterophylla faxinea,Pterophylla,faxinea,Cunoniaceae,Oxalidales,AM,FRED4,
Pterophylla racemosa,Pterophylla,racemosa,Cunoniaceae,Oxalidales,AM,FRED4,"['Weinmannia racemosa', 'Windmannia racemosa', 'Leiospermum racemosum']"
Pterospermum acerifolium,Pterospermum,acerifolium,Malvaceae,Malvales,AM,FRED4,"['Pterospermadendron acerifolium', 'Dombeya acerifolia', 'Cavanilla acerifolia', 'Pentapetes acerifolia']"
Puccinellia rupestris,Puccinellia,rupestris,Poaceae,Poales,,,"['Poa rupestris', 'Pseudosclerochloa rupestris', 'Sclerochloa rupestris']"
Pycnanthemum virginianum,Pycnanthemum,virginianum,Lamiaceae,Lamiales,AM,Maherali et. al. 2016,"['Brachystemum virginicum', 'Thymus virginicus', 'Satureja virginiana', 'Koellia virginiana', 'Koellia virginica']"
Pyrus betulifolia,Pyrus,betulifolia,Rosaceae,Rosales,AM,FRED4,
Pyrus bourgaeana,Pyrus,bourgaeana,Rosaceae,Rosales,AM,FRED4,"['Pyrus communis subsp. bourgaeana', 'Pyrus communis var. bourgaeana', 'Pyrus communis proles bourgaeana']"
Quercus alba,Quercus,alba,Fagaceae,Fagales,EcM,FRED4,
Quercus aliena,Quercus,aliena,Fagaceae,Fagales,EcM,FRED4,
Quercus asymmetrica,Quercus,asymmetrica,Fagaceae,Fagales,EcM,FRED4,
Quercus bicolor,Quercus,bicolor,Fagaceae,Fagales,EcM,FungalRoot,"['Quercus discolor var. bicolor', 'Quercus prinus var. bicolor']"
Quercus canariensis,Quercus,canariensis,Fagaceae,Fagales,,,
Quercus coccifera,Quercus,coccifera,Fagaceae,Fagales,EcM,FRED4,
Quercus faginea,Quercus,faginea,Fagaceae,Fagales,EcM,FRED4,['Quercus lusitanica subsp. faginea']
Quercus glauca,Quercus,glauca,Fagaceae,Fagales,EcMAM,FungalRoot,"['Perytis glauca', 'Cyclobalanopsis glauca']"
Quercus ilex,Quercus,ilex,Fagaceae,Fagales,EcM,FRED4,
Quercus lowii,Quercus,lowii,Fagaceae,Fagales,EcM,FRED4,['Cyclobalanopsis lowii']
Quercus mongolica,Quercus,mongolica,Fagaceae,Fagales,EcM,FRED4,['Quercus sessiliflora var. mongolica']
Quercus multinervis,Quercus,multinervis,Fagaceae,Fagales,EcM,FRED4,
Quercus oxyodon,Quercus,oxyodon,Fagaceae,Fagales,EcM,FRED4,"['Cyclobalanopsis oxyodon', 'Cyclobalanopsis lineata var. oxyodon', 'Quercus lineata var. oxyodon']"
Quercus palustris,Quercus,palustris,Fagaceae,Fagales,EcM,FRED4,['Quercus rubra var. palustris']
Quercus robur,Quercus,robur,Fagaceae,Fagales,EcM,FRED4,
Quercus rubra,Quercus,rubra,Fagaceae,Fagales,EcM,FRED4,['Erythrobalanus rubra']
Quercus serrata,Quercus,serrata,Fagaceae,Fagales,EcM,FRED4,
Quercus suber,Quercus,suber,Fagaceae,Fagales,EcM,Maherali et. al. 2016,['Quercus suberosa']
Quercus variabilis,Quercus,variabilis,Fagaceae,Fagales,EcM,FRED4,['Pasania variabilis']
Quercus wutaishanica,Quercus,wutaishanica,Fagaceae,Fagales,EcM,FRED4,
Quintinia serrata,Quintinia,serrata,Paracryphiaceae,Paracryphiales,AM,FRED4,
Ratibida pinnata,Ratibida,pinnata,Asteraceae,Asterales,AM,FungalRoot,"['Lepachys pinnata', 'Rudbeckia pinnata', 'Helianthus pinnatus', 'Obeliscaria pinnata']"
Raukaua simplex,Raukaua,simplex,Araliaceae,Apiales,AM,FRED4,"['Neopanax simplex', 'Pseudopanax simplex', 'Nothopanax simplex', 'Panax simplex']"
Rhamnus alaternus,Rhamnus,alaternus,Rhamnaceae,Rosales,,,
Rhamnus davurica,Rhamnus,davurica,Rhamnaceae,Rosales,NMAM,FRED4,['Rhamnus cathartica var. davurica']
Rhamnus lycioides,Rhamnus,lycioides,Rhamnaceae,Rosales,AM,FRED4,"['Rhamnus oleoides var. lycioides', 'Rhamnus oleoides subsp. lycioides']"
Rhaphiolepis indica,Rhaphiolepis,indica,Rosaceae,Rosales,AM,FRED4,"['Mespilus indica', 'Pyrus rhaphiolepis', 'Crataegus indica']"
Rhododendron hypoglaucum,Rhododendron,hypoglaucum,Ericaceae,Ericales,ErM,FRED4,"['Rhododendron argyrophyllum subsp. hypoglaucum', 'Azalea hypoglauca']"
Rhododendron ponticum,Rhododendron,ponticum,Ericaceae,Ericales,ErM,FungalRoot,['Hymenanthes pontica']
Rhodoleia championii,Rhodoleia,championii,Hamamelidaceae,Saxifragales,AM,FRED4,
Rhodostemonodaphne crenaticupula,Rhodostemonodaphne,crenaticupula,Lauraceae,Laurales,AM,FRED4,
Rhodostemonodaphne paniculata,Rhodostemonodaphne,paniculata,Lauraceae,Laurales,AM,FRED4,
Rhodostemonodaphne parvifolia,Rhodostemonodaphne,parvifolia,Lauraceae,Laurales,AM,FRED4,
Rhopalostylis sapida,Rhopalostylis,sapida,Arecaceae,Arecales,AM,FRED4,
Rhus typhina,Rhus,typhina,Anacardiaceae,Sapindales,AM,FRED4,"['Toxicodendron typhinum', 'Rhus hirta var. typhina', 'Rhus hirta f. typhina']"
Richetia multiflora,Richetia,multiflora,Dipterocarpaceae,Malvales,,,"['Doona multiflora', 'Balanocarpus multiflorus', 'Shorea multiflora']"
Rosa acicularis,Rosa,acicularis,Rosaceae,Rosales,NMAM,FRED4,
Rosa arkansana,Rosa,arkansana,Rosaceae,Rosales,,,"['Rosa blanda var. arkansana', 'Rosa virginiana var. arkansana']"
Rosa canina,Rosa,canina,Rosaceae,Rosales,AM,FRED4,['Crepinia canina']
Rosa xanthina,Rosa,xanthina,Rosaceae,Rosales,AM,FRED4,
Roucheria columbiana,Roucheria,columbiana,Linaceae,Malpighiales,,,
Ruagea glabra,Ruagea,glabra,Meliaceae,Sapindales,,,['Guarea trianae']
Rubia peregrina,Rubia,peregrina,Rubiaceae,Gentianales,EcMAM,FungalRoot,['Galium peregrinum']
Rubroshorea acuminata,Rubroshorea,acuminata,Dipterocarpaceae,Malvales,,,['Shorea acuminata']
Rubroshorea leprosula,Rubroshorea,leprosula,Dipterocarpaceae,Malvales,EcM,Maherali et. al. 2016,['Shorea leprosula']
Rubus allegheniensis,Rubus,allegheniensis,Rosaceae,Rosales,AM,FRED4,['Rubus villosus var. montanus']
Rubus crataegifolius,Rubus,crataegifolius,Rosaceae,Rosales,AM,FRED4,['Rubus corchorifolius var. crataegifolius']
Rubus idaeus,Rubus,idaeus,Rosaceae,Rosales,NMAM,FRED4,['Batidaea idaea']
Rubus irritans,Rubus,irritans,Rosaceae,Rosales,AM,FRED4,
Rubus phoenicolasius,Rubus,phoenicolasius,Rosaceae,Rosales,AM,FRED4,
Rubus rosifolius,Rubus,rosifolius,Rosaceae,Rosales,AM,FRED4,
Rubus ulmifolius,Rubus,ulmifolius,Rosaceae,Rosales,AM,FRED4,"['Rubus sanctus ulmifolius', 'Rubus discolor subsp. ulmifolius', 'Rubus fruticosus var. ulmifolius']"
Rudgea cornifolia,Rudgea,cornifolia,Rubiaceae,Gentianales,AM,FRED4,"['Uragoga cornifolia', 'Psychotria cornifolia']"
Rudgea lanceifolia,Rudgea,lanceifolia,Rubiaceae,Gentianales,AM,FRED4,['Uragoga lanceifolia']
Rumex acetosella,Rumex,acetosella,Polygonaceae,Caryophyllales,NMAM,FRED4,"['Acetosa acetosella', 'Lapathum acetosella', 'Pauladolfia acetosella']"
Salix abscondita,Salix,abscondita,Salicaceae,Malpighiales,,,
Salix atrocinerea,Salix,atrocinerea,Salicaceae,Malpighiales,EcM,FRED4,"['Salix cinerea proles atrocinerea', 'Salix cinerea var. atrocinerea', 'Salix cinerea subsp. atrocinerea']"
Salix caprea,Salix,caprea,Salicaceae,Malpighiales,EcMAM,FRED4,"['Nectopix caprea', 'Capraea vulgaris']"
Salix viminalis,Salix,viminalis,Salicaceae,Malpighiales,EcMAM,FRED4,['Diplima viminalis']
Salvia chinensis,Salvia,chinensis,Lamiaceae,Lamiales,AM,FRED4,['Salvia japonica var. chinensis']
Salvia rosmarinus,Salvia,rosmarinus,Lamiaceae,Lamiales,AM,FRED4,['Rosmarinus officinalis']
Sambucus williamsii,Sambucus,williamsii,Viburnaceae,Dipsacales,AM,FRED4,
Sanguisorba minor,Sanguisorba,minor,Rosaceae,Rosales,AM,FRED4,"['Poterium minus', 'Pimpinella sanguisorba', 'Blitum sanguisorba', 'Poterium sanguisorba']"
Sanguisorba officinalis,Sanguisorba,officinalis,Rosaceae,Rosales,NMAM,FRED4,"['Pimpinella officinalis', 'Poterium officinale']"
Sanicula orthacantha,Sanicula,orthacantha,Apiaceae,Apiales,AM,FRED4,
Sapium stylare,Sapium,stylare,Euphorbiaceae,Malpighiales,,,['Excoecaria stylaris']
Saprosma ternatum,Saprosma,ternatum,Rubiaceae,Gentianales,AM,FRED4,
Sarcandra glabra,Sarcandra,glabra,Chloranthaceae,Chloranthales,NMAM,FungalRoot,"['Ardisia glabra', 'Bladhia glabra', 'Chloranthus glaber']"
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales,AM,FRED4,"['Tetranthera albida', 'Sassafras officinale var. albidum', 'Sassafras variifolium var. albidum', 'Laurus albida']"
Saurauia herthae,Saurauia,herthae,Actinidiaceae,Ericales,,,
Saussurea amurensis,Saussurea,amurensis,Asteraceae,Asterales,AM,FRED4,['Theodorea amurensis']
Saussurea mongolica,Saussurea,mongolica,Asteraceae,Asterales,AM,FRED4,['Saussurea ussuriensis var. mongolica']
Saussurea nivea,Saussurea,nivea,Asteraceae,Asterales,AM,FRED4,
