binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Astelia fragrans,Astelia,fragrans,Asteliaceae,Asparagales,AM,FRED4,['Funckia fragrans']
Astelia nervosa,Astelia,nervosa,Asteliaceae,Asparagales,AM,FRED4,['Funckia nervosa']
Aster lanceolatus,Aster,lanceolatus,Asteraceae,Asterales,AM,FungalRoot,
Aster scaber,Aster,scaber,Asteraceae,Asterales,AM,FRED4,"['Cardiagyris scabra', 'Doellingeria scabra']"
Aster tataricus,Aster,tataricus,Asteraceae,Asterales,AM,FRED4,
Astilbe rivularis,Astilbe,rivularis,Saxifragaceae,Saxifragales,AM,FRED4,
Astilbe rubra,Astilbe,rubra,Saxifragaceae,Saxifragales,AM,FRED4,
Astragalus aboriginum,Astragalus,aboriginum,Fabaceae,Fabales,,,
Astragalus agrestis,Astragalus,agrestis,Fabaceae,Fabales,,,['Phaca agrestis']
Astragalus bisulcatus,Astragalus,bisulcatus,Fabaceae,Fabales,AM,FungalRoot,"['Phaca bisulcata', 'Diholcos bisulcatus', 'Tragacantha bisulcata']"
Astragalus canadensis,Astragalus,canadensis,Fabaceae,Fabales,,,"['Phaca canadensis', 'Tragacantha canadensis']"
Astragalus scaberrimus,Astragalus,scaberrimus,Fabaceae,Fabales,AM,FungalRoot,['Tragacantha scaberrima']
Athyrium monomachii,Athyrium,monomachii,Athyriaceae,Polypodiales,AM,FRED4,['Athyrium filix-femina var. monomachii']
Athyrium sinense,Athyrium,sinense,Athyriaceae,Polypodiales,AM,FRED4,['Athyrium filix-femina subsp. sinense']
Athyrium spinulosum,Athyrium,spinulosum,Athyriaceae,Polypodiales,AM,FRED4,"['Cystopteris spinulosa', 'Pseudocystopteris spinulosa']"
Atractylis humilis,Atractylis,humilis,Asteraceae,Asterales,,,
Baccaurea ramiflora,Baccaurea,ramiflora,Phyllanthaceae,Malpighiales,AM,FungalRoot,
Baptisia alba,Baptisia,alba,Fabaceae,Fabales,AM,Maherali et. al. 2016,"['Podalyria alba', 'Sophora alba', 'Crotalaria alba']"
Barringtonia fusicarpa,Barringtonia,fusicarpa,Lecythidaceae,Ericales,,,
Barringtonia racemosa,Barringtonia,racemosa,Lecythidaceae,Ericales,AM,FRED4,"['Caryophyllus racemosus', 'Butonica racemosa', 'Butonica alba', 'Eugenia racemosa', 'Michelia racemosa', 'Stravadium racemosum', 'Huttum racemosum']"
Bathysa australis,Bathysa,australis,Rubiaceae,Gentianales,,,"['Voigtia australis', 'Cinchona australis', 'Exostema australe']"
Beilschmiedia purpurascens,Beilschmiedia,purpurascens,Lauraceae,Laurales,,,
Beilschmiedia tarairi,Beilschmiedia,tarairi,Lauraceae,Laurales,AM,FRED4,['Laurus tarairi']
Beilschmiedia tawa,Beilschmiedia,tawa,Lauraceae,Laurales,AM,FRED4,['Laurus tawa']
Berberis thunbergii,Berberis,thunbergii,Berberidaceae,Ranunculales,AM,FRED4,
Berteroa incana,Berteroa,incana,Brassicaceae,Brassicales,NM,Maherali et. al. 2016,"['Moenchia incana', 'Vesicaria incana', 'Alyssum incanum', 'Farsetia incana']"
Betula costata,Betula,costata,Betulaceae,Fagales,EcM,FRED4,"['Betula ermanii f. costata', 'Betula ermanii var. costata', 'Betula ulmifolia var. costata']"
Betula dahurica,Betula,dahurica,Betulaceae,Fagales,EcM,FRED4,
