binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonym
Neopanax_arboreus,Neopanax,Araliaceae,-0.245370902,2.88448780395968,-2.067052105,AM,FRED4,"('Pseudopanax arboreus', 'Panax arboreus', 'Nothopanax arboreus')"
Neopanax_colensoi,Neopanax,Araliaceae,-0.820980552,3.10458667846607,-1.272965676,AM,FRED4,"('Nothopanax colensoi', 'Panax colensoi', 'Pseudopanax colensoi')"
Pseudopanax_crassifolius,Pseudopanax,Araliaceae,-0.400291017,3.1820720849325,-2.011957043,AM,FRED4,"('Hedera crassifolia', 'Aralia crassifolia', 'Panax crassifolius')"
Raukaua_simplex,Raukaua,Araliaceae,-1.021651248,3.45946628978613,-1.203972804,AM,FRED4,"('Neopanax simplex', 'Pseudopanax simplex', 'Nothopanax simplex', 'Panax simplex')"
Pittosporum_eugenioides,Pittosporum,Pittosporaceae,-0.877176862,3.902623389,-1.878570727,AM,FRED4,
Pittosporum_tenuifolium,Pittosporum,Pittosporaceae,-0.852544936,3.93567934111572,-1.949747054,AM,FRED4,
Pennantia_corymbosa,Pennantia,Pennantiaceae,-0.697097831,3.53841012155503,-1.878330602,AM,FRED4,
Zabelia_biflora,Zabelia,Caprifoliaceae,-0.636388847,3.432277908,-1.919392622,AM,FRED4,"('Abelia biflora',)"
Lonicera_chrysantha,Lonicera,Caprifoliaceae,-1.372292841,5.14195861793851,-2.152412908,AM,FRED4,"('Caprifolium chrysanthum', 'Xylosteon chrysanthum', 'Lonicera xylosteum var. chrysantha')"
Lonicera_maackii,Lonicera,Caprifoliaceae,-1.365592912,3.41531797237327,-0.234984525,AM,FRED4,"('Xylosteon maackii',)"
Symphoricarpos_occidentalis,Symphoricarpos,Caprifoliaceae,-1.194407587,3.89387197606093,-1.086703314,AM,"(Brundrett and Tedersoo, 2018)","('Symphoria occidentalis',)"
Viburnum_stipitatum,Viburnum,Viburnaceae,-0.022756987,1.39040950578553,-1.103668528,AM,"(Soudzilovskaia et al., 2020)",
Viburnum_dentatum,Viburnum,Viburnaceae,-0.625182001,2.15875598205803,-0.60725922,AM,FRED4,
Viburnum_tinus,Viburnum,Viburnaceae,-0.791256274,2.42213818783763,-0.453206153,AM,FRED4,
Sambucus_williamsii,Sambucus,Viburnaceae,-0.848516961,4.29423975281261,-1.824829448,AM,FRED4,
Quintinia_serrata,Quintinia,Paracryphiaceae,-0.981095955,3.60951644828138,-1.291332764,AM,FRED4,
