F01286,F01287,F01289,F01290
Quercus,glauca,Fagaceae,Fagales
Nothofagus,menziesii,Nothofagaceae,Fagales
Laurelia,novae-zelandiae,Atherospermataceae,Laurales
Bromus,catharticus,Poaceae,Poales
Bromus,inermis,Poaceae,Poales
Cichorium,intybus,Asteraceae,Asterales
Elymus,virginicus,Poaceae,Poales
Medicago,sativa,Fabaceae,Fabales
Phalaris,arundinacea,Poaceae,Poales
Plantago,lanceolata,Plantaginaceae,Lamiales
Taraxacum,campylodes,Asteraceae,Asterales
Trifolium,purpureum,Fabaceae,Fabales
Trifolium,repens,Fabaceae,Fabales
Vicia,americana,Fabaceae,Fabales
Alnus,glutinosa,Betulaceae,Fagales
Anthyllis,cytisoides,Fabaceae,Fabales
