"binominal","F01286","F01289","F00679D","F00727D","F00709D","F00679O","F00727O","F00709O","state","synonym"
"Chenopodium_album","Chenopodium","Amaranthaceae",-1.00968531076403,3.87713738934884,-0.652735935601743,-1.65437887653843,4.29436441256687,-0.569306456911154,"NMAM","('Chenopodium viride var. album', 'Botrys albus', 'Atriplex alba')"
"Schoepfia_jasminodora","Schoepfia","Schoepfiaceae",-1.65574366531061,4.40038976266241,-0.886731929632611,-1.65574366531061,4.40038976266241,-0.886731929632611,"AM","('Schoepfiopsis jasminodora',)"
"Lespedeza_bicolor","Lespedeza","Fabaceae",-1.40690531502401,4.93161832306386,-1.89711998488588,-1.40690531502401,4.93161832306386,-1.89711998488588,"AM",""
"Lespedeza_thunbergii","Lespedeza","Fabaceae",-1.47447005202362,4.75748825532435,-1.56723755629083,-1.47447005202362,4.75748825532435,-1.56723755629083,"AM","('Desmodium thunbergii',)"
"Millettia_leptobotrya","Millettia","Fabaceae",-1.07417336679109,3.24337329646859,-0.843970070294529,-1.07417336679109,3.24337329646859,-0.843970070294529,"AM",""
"Styphnolobium_japonicum","Styphnolobium","Fabaceae",-0.534600392079321,3.21008033167326,-1.6620478627064,-0.534600392079321,3.21008033167326,-1.6620478627064,"AM","('Sophora japonica',)"
"Acacia_mangium","Acacia","Fabaceae",-1.37614603006808,4.5970372027579,-1.23787435600162,-1.37614603006808,4.5970372027579,-1.23787435600162,"EcMAM","('Racosperma mangium',)"
"Acacia_auriculiformis","Acacia","Fabaceae",-0.711073569093401,3.62042215346903,-1.22644566017799,-0.953551367235599,3.98569159535335,-1.30933331998376,"EcMAM","('Racosperma auriculiforme',)"
"Acacia_crassicarpa","Acacia","Fabaceae",-1.48753006220077,4.6847204647461,-1.02165124753198,-1.48753006220077,4.6847204647461,-1.02165124753198,"EcMAM","('Racosperma crassicarpum',)"
"Archidendron_lucidum","Archidendron","Fabaceae",-1.34492211801416,4.07567129695648,-1.17118298150295,-1.34492211801416,4.07567129695648,-1.17118298150295,"AM","('Pithecellobium lucidum', 'Abarema lucida')"
"Archidendron_clypearia","Archidendron","Fabaceae",-1.3062639612144,4.25319845031993,-0.891598119283784,-1.3062639612144,4.25319845031993,-0.891598119283784,"AM","('Pithecellobium clypearia', 'Abarema clypearia', 'Feuilleea clypearia', 'Inga clypearia', 'Albizia clypearia')"
"Gleditsia_triacanthos","Gleditsia","Fabaceae",-0.551949074309825,2.75408686723801,-1.67531065658481,-0.551949074309825,2.75408686723801,-1.67531065658481,"AM","('Caesalpiniodes triacanthum',)"
"Potentilla_indica","Potentilla","Rosaceae",-1.64092857952547,5.31910239593315,-1.80856658686647,-1.64092857952547,5.31910239593315,-1.80856658686647,"AM","('Fragaria indica', 'Duchesnea indica')"
"Sanguisorba_officinalis","Sanguisorba","Rosaceae",-0.240883307707395,3.05392570713172,-1.53846375419265,-0.668129417584657,3.43578129307007,-1.70744158760909,"AM","('Pimpinella officinalis', 'Poterium officinale')"
"Agrimonia_pilosa","Agrimonia","Rosaceae",-1.48501033405905,5.08637811770417,-1.75107037313841,-1.48501033405905,5.08637811770417,-1.75107037313841,"AM","('Agrimonia eupatoria var. pilosa', 'Agrimonia dahurica var. pilosa')"
"Rosa_acicularis","Rosa","Rosaceae",-1.23374496265961,4.02238543503104,-1.30933331998376,-1.23374496265961,4.02238543503104,-1.30933331998376,"AM",""
"Rosa_xanthina","Rosa","Rosaceae",-1.69064796785964,5.22768711832685,-1.50180724701725,-1.69064796785964,5.22768711832685,-1.50180724701725,"AM",""
"Rubus_irritans","Rubus","Rosaceae",-1.73160554640831,5.26097119154977,-1.54572209681342,-1.73160554640831,5.26097119154977,-1.54572209681342,"AM",""
"Rubus_rosifolius","Rubus","Rosaceae",-2.13467240549735,5.76663630061643,-1.25661653646001,-2.13467240549735,5.76663630061643,-1.25661653646001,"AM",""
"Rubus_crataegifolius","Rubus","Rosaceae",-1.88981340970344,5.64788850177962,-1.63929087588681,-1.88981340970344,5.64788850177962,-1.63929087588681,"AM","('Rubus corchorifolius var. crataegifolius',)"
"Rubus_idaeus","Rubus","Rosaceae",-1.70898204277049,5.1459171136626,-1.47822401813556,-1.70898204277049,5.1459171136626,-1.47822401813556,"AM","('Batidaea idaea',)"
"Filipendula_digitata","Filipendula","Rosaceae",-1.69826912614072,5.39638636367747,-1.76358859476136,-1.69826912614072,5.39638636367747,-1.76358859476136,"AM","('Spiraea digitata',)"
"Spiraea_ouensanensis","Spiraea","Rosaceae",-0.98859264362956,5.01173690909558,-2.77258872223978,-0.98859264362956,5.01173690909558,-2.77258872223978,"AM",""
"Malus_baccata","Malus","Rosaceae",-0.616464295142569,3.41290229404606,-1.16970533247388,-1.09579574585135,3.84405913740692,-1.21033727690494,"AM","('Malus microcarpa baccata', 'Sinomalus baccata', 'Pyrus baccata')"
"Crataegus_pinnatifida","Crataegus","Rosaceae",-1.54014508593815,4.65663128004649,-1.30515675399066,-1.54014508593815,4.65663128004649,-1.30515675399066,"AM","('Mespilus pinnatifida', 'Mespilus pentagyna var. pinnatifida', 'Crataegus oxyacantha var. pinnatifida')"
"Cotoneaster_multiflorus","Cotoneaster","Rosaceae",-1.47119886821033,4.98480350515749,-1.76925047802889,-1.47119886821033,4.98480350515749,-1.76925047802889,"AM","('Pyrus multiflora',)"
"Cotoneaster_adpressus","Cotoneaster","Rosaceae",-1.41202250969262,4.48380769424055,-1.43250720603178,-1.41202250969262,4.48380769424055,-1.43250720603178,"AM","('Cotoneaster horizontalis var. adpressus', 'Pyrus adpressa')"
"Cotoneaster_acutifolius","Cotoneaster","Rosaceae",-1.59258079536768,4.6317926425482,-1.20397280432594,-1.59258079536768,4.6317926425482,-1.20397280432594,"AM","('Pyrus acutifolia', 'Cotoneaster niger var. acutifolius')"
"Pyrus_betulifolia","Pyrus","Rosaceae",-0.288075633086609,2.13133153612149,-0.777884241186987,-0.577673315060041,2.53582725842434,-1.06956892215336,"AM",""
"Sorbus_discolor","Sorbus","Rosaceae",-1.59049349643316,4.7952884389838,-1.37694279761093,-1.59049349643316,4.7952884389838,-1.37694279761093,"AM","('Pyrus discolor',)"
"Sorbus_aucuparia","Sorbus","Rosaceae",-0.885280752032391,3.46564709398759,-0.566242705076422,-1.45851000014791,3.89016806957874,-0.681699304261178,"AM","('Pyrus aucuparia', 'Pyrenia aucuparia', 'Mespilus aucuparia', 'Crataegus aucuparia', 'Aucuparia silvestris')"
"Eriobotrya_japonica","Eriobotrya","Rosaceae",-1.14306586942241,3.83189696094886,-0.941608539858445,-1.14306586942241,3.83189696094886,-0.941608539858445,"AM","('Photinia japonica', 'Mespilus japonica')"
"Rhaphiolepis_indica","Rhaphiolepis","Rosaceae",-1.93233274064163,4.46349140765615,-0.63487827243597,-1.93233274064163,4.46349140765615,-0.63487827243597,"AM","('Mespilus indica', 'Pyrus rhaphiolepis', 'Crataegus indica')"
"Spiraea_dahurica","Spiraea","Rosaceae",-2.10155082454166,5.67299847766333,-1.23299191522705,-2.10155082454166,5.67299847766333,-1.23299191522705,"AM","('Spiraea media subsp. dahurica', 'Spiraea alpina var. dahurica')"
"Prunus_armeniaca","Prunus","Rosaceae",-0.814185508937001,3.51886293604751,-1.64675162027842,-0.814185508937001,3.51886293604751,-1.64675162027842,"AM","('Prunus armeniaca subsp. vulgaris', 'Amygdalus armeniaca', 'Armeniaca vulgaris')"
"Prunus_sargentii","Prunus","Rosaceae",-0.898540159583803,3.91290370544801,-1.74822116769227,-0.898540159583803,3.91290370544801,-1.74822116769227,"AM","('Cerasus sargentii',)"
"Prunus_avium","Prunus","Rosaceae",-1.60662936011206,4.95641899786301,-1.48889156490978,-1.60662936011206,4.95641899786301,-1.48889156490978,"AM","('Cerasus avium var. juliana', 'Druparia avium', 'Cerasus avium', 'Prunus cerasus subsp. avium', 'Prunus cerasus var. avium')"
"Prunus_serotina","Prunus","Rosaceae",-1.6424777665123,4.9638761218657,-1.47330573665497,-1.6424777665123,4.9638761218657,-1.47330573665497,"AM","('Padus serotina', 'Cerasus serotina')"
"Prunus_padus","Prunus","Rosaceae",-1.91664265137475,5.50616332770253,-1.41528189740491,-1.91664265137475,5.50616332770253,-1.41528189740491,"AM","('Druparia padus', 'Cerasus padus', 'Padus avium')"
"Ficus_variolosa","Ficus","Moraceae",-2.01800783549574,4.96598654242737,-1.13943428318836,-2.01800783549574,4.96598654242737,-1.13943428318836,"AM",""
"Artocarpus_styracifolius","Artocarpus","Moraceae",-1.26244973408491,3.54211807271853,-0.527632742082372,-1.26244973408491,3.54211807271853,-0.527632742082372,"AM",""
"Oreocnide_frutescens","Oreocnide","Urticaceae",-1.43045525690566,4.54415551173609,-1.46778739367296,-1.43045525690566,4.54415551173609,-1.46778739367296,"NMAM","('Villebrunea frutescens', 'Boehmeria frutescens', 'Urtica frutescens')"
"Celtis_sinensis","Celtis","Cannabaceae",-1.96304613500205,4.72738781871234,-0.478035800943,-1.96304613500205,4.72738781871234,-0.478035800943,"AM","('Celtis tetrandra subsp. sinensis',)"
"Gironniera_subaequalis","Gironniera","Cannabaceae",-2.08024186185061,4.21331208128614,-0.653926467406664,-2.08024186185061,4.21331208128614,-0.653926467406664,"AM","('Gironniera nervosa var. subaequalis',)"
"Ulmus_macrocarpa","Ulmus","Ulmaceae",-0.681453602916064,3.47392183080008,-0.931051973407431,-1.27836478911512,3.91779279725319,-1.03931696126626,"AM",""
"Ulmus_pumila","Ulmus","Ulmaceae",-1.53293994146138,4.89480170827717,-1.58203893608382,-1.53293994146138,4.89480170827717,-1.58203893608382,"AM",""
"Ulmus_davidiana","Ulmus","Ulmaceae",-0.850544005754011,4.18301026087132,-1.20575310812673,-1.36158040007447,4.48655992253062,-1.15894855788715,"AM",""
"Ulmus_americana","Ulmus","Ulmaceae",-0.946359480803913,3.83919225146852,-1.84121235294759,-0.946359480803913,3.83919225146852,-1.84121235294759,"AM",""
"Rhamnus_davurica","Rhamnus","Rhamnaceae",-1.7120245012092,5.19709489569434,-1.49801639729909,-1.7120245012092,5.19709489569434,-1.49801639729909,"AM","('Rhamnus cathartica var. davurica',)"
"Coriaria_nepalensis","Coriaria","Coriariaceae",-0.82098055206983,3.44380222404426,-1.56524809938644,-0.82098055206983,3.44380222404426,-1.56524809938644,"AM",""
"Carpinus_betulus","Carpinus","Betulaceae",-0.395029573821856,2.94040337558763,-0.709002381584914,-0.821663467021354,3.20571251891547,-0.750966543131333,"EcM",""
"Carpinus_cordata","Carpinus","Betulaceae",-0.859625428176364,3.42120836871399,0.0283904835180791,-1.7990560506511,3.88757845973164,0.0486730947773956,"EcM","('Distegocarpus cordatus',)"
"Corylus_ferox","Corylus","Betulaceae",-1.37357558871212,4.22385069265036,-1.23320683137932,-1.37357558871212,4.22385069265036,-1.23320683137932,"EcM",""
"Corylus_sieboldiana","Corylus","Betulaceae",-1.57680939213579,4.88916930920065,-1.45226988865677,-1.57680939213579,4.88916930920065,-1.45226988865677,"EcM","('Corylus heterophylla var. sieboldiana', 'Corylus rostrata var. sieboldiana')"
"Betula_pendula","Betula","Betulaceae",-1.0135878797991,4.21132796646033,-1.23781297555785,-1.29555780744685,4.46289121920639,-1.38248420698479,"EcM","('Betula alba lusus pendula', 'Betula alba var. pendula', 'Betula alba var. pendula')"
"Betula_dahurica","Betula","Betulaceae",-0.7336448131079,3.17647868541659,-0.703142721147058,-1.18757339168429,3.61074508987339,-0.906105784981126,"EcM",""
"Betula_costata","Betula","Betulaceae",-1.11342140533674,4.71325957907072,-1.90452462502764,-1.11342140533674,4.71325957907072,-1.90452462502764,"EcM","('Betula ermanii f. costata', 'Betula ermanii var. costata', 'Betula ulmifolia var. costata')"
"Betula_fruticosa","Betula","Betulaceae",-1.27189482081139,3.88699799929116,-1.075607059885,-1.27189482081139,3.88699799929116,-1.075607059885,"EcM",""
