binominal,F00645
Vitex lucens,AM
Vitis amurensis,AM
Vitis vinifera,AM
Weinmannia silvicola,AM
Wendlandia uvariifolia,AM
Wurfbainia villosa,AM
Xanthophyllum tenue,AM
Zabelia biflora,AM
Zamia lucayana,AM
Zygia inaequalis,AM
Antennaria parvifolia,AM
Artemisia ludoviciana,AM
Carex korshinskyi,NMAM
Carex korshinskyi,NM
Celtis tetrandra,AM
Fraxinus nigra,AM
Linum lewisii,AM
Litsea szemaois,AM
Potentilla pusilla,AM
Quercus palustris,EcM
Quercus palustris,NM
Tragopogon dubius,AM
Trifolium purpureum,AM
Viola adunca,AM
Vitis vulpina,AM
