Dataset,SpeciesName,AccSpeciesName,TraitID,OrigValueStr
FRED - Fine Root Ecology Database,Parakmeria yunnanensis,Magnolia yunnanensis,7.0,AM
FRED - Fine Root Ecology Database,Parakmeria lotungensis,Magnolia lotungensis,7.0,AM
FRED - Fine Root Ecology Database,Michelia balansae,Magnolia balansae,7.0,AM
FRED - Fine Root Ecology Database,Michelia odora,Magnolia odora,7.0,AM
FRED - Fine Root Ecology Database,Michelia fulva,Magnolia fulva,7.0,AM
FRED - Fine Root Ecology Database,Michelia cavaleriei,Magnolia cavaleriei,7.0,AM
FRED - Fine Root Ecology Database,Manglietia paruicula,Manglietia paruicula,7.0,AM
FRED - Fine Root Ecology Database,Michelia champaca,Magnolia champaca,7.0,AM
FRED - Fine Root Ecology Database,Michelia opipara,Magnolia opipara,7.0,AM
FRED - Fine Root Ecology Database,Manglietia dandyi,Magnolia dandyi,7.0,AM
FRED - Fine Root Ecology Database,Michelia chapensis,Magnolia chapensis,7.0,AM
FRED - Fine Root Ecology Database,Cryptocarya chinensis,Cryptocarya chinensis,7.0,AM
FRED - Fine Root Ecology Database,Machilus velutina,Machilus velutina,7.0,AM
FRED - Fine Root Ecology Database,Machilus kwangtungensis,Machilus kwangtungensis,7.0,AM
FRED - Fine Root Ecology Database,Litsea cubeba,Litsea cubeba,7.0,AM
FRED - Fine Root Ecology Database,Cinnamomum camphora,Cinnamomum camphora,7.0,AM
FRED - Fine Root Ecology Database,Litsea verticillata,Litsea verticillata,7.0,AM
FRED - Fine Root Ecology Database,Cryptocarya concinna,Cryptocarya concinna,7.0,AM
FRED - Fine Root Ecology Database,Machilus robusta,Machilus robusta,7.0,AM
FRED - Fine Root Ecology Database,Cinnamomum micranthum,Cinnamomum micranthum,7.0,AM
FRED - Fine Root Ecology Database,Cinnamomum cassia,Cinnamomum cassia,7.0,AM
FRED - Fine Root Ecology Database,Litsea baviensis,Litsea baviensis,7.0,AM
FRED - Fine Root Ecology Database,Mezzettiopsis creaghii,Orophea creaghii,7.0,AM
FRED - Fine Root Ecology Database,Helicia formosana,Helicia formosana,7.0,AM
FRED - Fine Root Ecology Database,Syzygium hancei,Syzygium hancei,7.0,AM
FRED - Fine Root Ecology Database,Syzygium levinei,Syzygium levinei,7.0,AM
FRED - Fine Root Ecology Database,Eucalyptus urophylla,Eucalyptus urophylla,7.0,AM/EcM
FRED - Fine Root Ecology Database,Eucalyptus urophylla,Eucalyptus urophylla,7.0,EM
FRED - Fine Root Ecology Database,Syzygium globiflorum,Syzygium globiflorum,7.0,AM
FRED - Fine Root Ecology Database,Microtropis discolor,Microtropis discolor,7.0,AM
FRED - Fine Root Ecology Database,Castanea henryi,Castanea henryi,7.0,EM
FRED - Fine Root Ecology Database,Castanopsis fissa,Castanopsis fissa,7.0,EM
FRED - Fine Root Ecology Database,Cyclobalanopsis patelliformis,Quercus asymmetrica,7.0,EM
FRED - Fine Root Ecology Database,Castanopsis hystrix,Castanopsis hystrix,7.0,EM
