,RD,SRL,RN,RTD,F00056,F00645,F01286,F01287,F01289,F01290
137,0.491750,39.048129,16.490875,0.121000,1.000000,AM,Cornus,florida,Cornaceae,Cornales
138,0.560750,25.235566,13.761375,0.160000,2.000000,AM,Cornus,florida,Cornaceae,Cornales
139,0.922050,5.042444,7.176750,0.330000,3.000000,AM,Cornus,florida,Cornaceae,Cornales
140,0.670000,24.381277,18.693750,0.124000,1.000000,AM,Diospyros,virginiana,Ebenaceae,Ericales
141,0.701250,17.123413,16.252375,0.140000,2.000000,AM,Diospyros,virginiana,Ebenaceae,Ericales
142,1.039450,4.464060,9.345250,0.270000,3.000000,AM,Diospyros,virginiana,Ebenaceae,Ericales
143,0.321500,38.931486,22.201195,0.140000,1.000000,AM,Fraxinus,americana,Oleaceae,Lamiales
144,0.435500,22.959628,19.053148,0.200000,2.000000,AM,Fraxinus,americana,Oleaceae,Lamiales
145,0.958525,3.760410,10.382075,0.370000,3.000000,AM,Fraxinus,americana,Oleaceae,Lamiales
146,0.578000,20.166609,21.772500,0.134000,1.000000,AM,Gleditsia,triacanthos,Fabaceae,Fabales
147,0.602250,17.210288,21.442750,0.160000,2.000000,AM,Gleditsia,triacanthos,Fabaceae,Fabales
148,0.942475,5.284870,18.454125,0.320000,3.000000,AM,Gleditsia,triacanthos,Fabaceae,Fabales
149,0.355333,50.524931,21.617833,0.094000,1.000000,AM,Halesia,tetraptera,Styracaceae,Ericales
150,0.339000,30.383658,20.590167,0.120000,2.000000,AM,Halesia,tetraptera,Styracaceae,Ericales
151,1.009200,9.662100,13.001833,0.210000,3.000000,AM,Halesia,tetraptera,Styracaceae,Ericales
152,0.487750,24.294820,12.609500,0.189000,1.000000,AM,Hamamelis,virginiana,Hamamelidaceae,Saxifragales
153,0.547000,14.044720,10.695625,0.230000,2.000000,AM,Hamamelis,virginiana,Hamamelidaceae,Saxifragales
154,0.994275,4.435481,8.377500,0.340000,3.000000,AM,Hamamelis,virginiana,Hamamelidaceae,Saxifragales
155,0.348750,44.467935,15.926500,0.107000,1.000000,AM,Ilex,opaca,Aquifoliaceae,Aquifoliales
156,0.420000,27.618029,11.271625,0.150000,2.000000,AM,Ilex,opaca,Aquifoliaceae,Aquifoliales
157,0.951425,5.988720,8.372875,0.280000,3.000000,AM,Ilex,opaca,Aquifoliaceae,Aquifoliales
158,0.437000,31.230987,26.141500,0.149000,1.000000,AM,Juglans,nigra,Juglandaceae,Fagales
159,0.694500,16.877508,19.170167,0.220000,2.000000,AM,Juglans,nigra,Juglandaceae,Fagales
160,0.976333,3.877918,13.228833,0.360000,3.000000,AM,Juglans,nigra,Juglandaceae,Fagales
161,0.354500,97.536196,10.609250,0.062000,1.000000,AM,Koelreuteria,paniculata,Sapindaceae,Sapindales
162,0.490500,46.997327,9.770250,0.110000,2.000000,AM,Koelreuteria,paniculata,Sapindaceae,Sapindales
163,0.760250,8.745190,8.816500,0.260000,3.000000,AM,Koelreuteria,paniculata,Sapindaceae,Sapindales
164,0.477500,31.721795,11.675000,0.148000,1.000000,AM,Liquidambar,styraciflua,Altingiaceae,Saxifragales
165,0.633750,16.132156,9.468750,0.220000,2.000000,AM,Liquidambar,styraciflua,Altingiaceae,Saxifragales
166,1.074250,3.936294,6.220125,0.330000,3.000000,AM,Liquidambar,styraciflua,Altingiaceae,Saxifragales
