binominal,SRL
Clinopodium_nepeta,4.860587297852597
Clitoria_javitensis,2.520045233152446
Coccoloba_excelsa,2.9170122877272475
Coccoloba_manzinellensis,2.498546556996704
Cocos_nucifera,3.039749158970765
Coffea_arabica,2.2063494851132197
Comandra_umbellata,3.445590362853224
Combretum_collinum,2.5249283241374862
Combretum_decandrum,2.3587757453038294
Coprosma_ciliata,4.516338972281476
Coprosma_foetidissima,3.7954891891721947
Coprosma_linariifolia,3.1038419942108035
Coprosma_lucida,3.258096538021482
Coprosma_rhamnoides,5.064491966886966
Coreopsis_palmata,4.727387818712341
Coriaria_arborea,3.3105430133940246
Coronilla_juncea,2.056111871040096
Coronilla_minima,3.6998855391456513
Corynocarpus_laevigatus,3.1696648970181456
Crataegus_monogyna,2.3113937952094306
Crepis_foetida,5.690798547097907
Crepis_sancta,5.786897381366708
Crepis_tectorum,4.77912349311153
Cyathea_dealbata,2.7746455279300806
Cyathea_medullaris,3.2221471559730768
Cyathea_smithii,2.8366148034445104
Cydonia_oblonga,2.2425130299388965
Cyperus_difformis,4.195245147157833
Cytisus_grandiflorus,1.1790898931449363
Dacrycarpus_dacrydioides,2.8782873307037025
Dacrydium_cupressinum,3.2849865081609457
Dacrydium_gracile,2.8637767814029216
Dacrydium_pectinatum,2.705563779182268
Dactylis_glomerata,5.8174593452660055
Dalea_purpurea,3.9247991068600374
Danthonia_intermedia,2.7450339821360643
Daucus_carota,5.8395161225355094
Deschampsia_cespitosa,4.852030263919617
Descurainia_sophia,5.1278286821668875
Desmodium_canadense,4.836281906951478
Dicksonia_squarrosa,2.803815831516592
Digitaria_setigera,3.586015818654697
Doellingeria_umbellata,4.744941478302148
Dovyalis_abyssinica,2.3758355547336385
Draba_nemorosa,5.604183683891964
Dysoxylum_spectabile,2.0624450465768707
Echinacea_serotina,3.5553480614894135
Eclipta_prostrata,3.4210000089583352
Ehrharta_stipoides,5.2733117457256995
Ekebergia_capensis,1.9892432737616872
Elaeagnus_commutata,2.917456692508743
Elaeocarpus_dentatus,3.3367627618187212
Elaeocarpus_hookerianus,3.5092922518629455
Elymus_canadensis,5.098901371555127
Elymus_lanceolatus,4.551559169124093
Elymus_repens,4.663275528495375
Elymus_riparius,5.299063020678885
Elymus_virginicus,5.642148918759129
Ephedra_fragilis,1.2210552998275395
Eragrostis_trichodes,4.290459441148391
Erigeron_canadensis,4.77912349311153
Erigeron_glabellus,3.9811057282116824
Erigeron_pumilus,4.437386082817152
Erysimum_inconspicuum,5.885458494246953
Eucalyptus_grandis,3.2622681366723527
Euphorbia_cyparissias,1.8468787684491346
Eurotia_lanata,4.37709589063546
Fagus_grandifolia,2.9809269817890933
Fagus_sylvatica,3.2326123571815595
Fallopia_convolvulus,5.303304908059076
Festuca_arundinacea,5.324563186555312
Festuca_christianii-bernardii,5.271703847697988
Festuca_hallii,4.418167587152136
Festuca_ovina,4.529206647181052
Festuca_rubra,5.189655109840973
Ficus_carica,3.0623500711846616
Ficus_tikoua,1.8794650496471605
Fragaria_virginiana,5.480531035188941
Fraxinus_angustifolia,2.937420688479367
Fraxinus_nigra,3.2953635102374483
Fuchsia_excorticata,4.431153827467956
Fumana_thymifolia,1.7075845310126203
Gahnia_procera,4.072439726834051
Gahnia_xanthocarpa,3.8199077165203406
Galearia_maingayi,1.7291067837174938
Galium_boreale,5.15235633994251
Genista_hirsuta,2.4158881056500805
Genista_triacanthos,2.5533958239963295
Gentiana_andrewsii,4.859812404361672
Geranium_rotundifolium,5.428577790382191
Gleichenia_microphylla,3.756538102587751
Gliricidia_sepium,3.475067230228611
Gnetum_gnemon,4.872904620630176
Gutierrezia_sarothrae,4.4387154166359855
Hakea_ceratophylla,3.9889840465642745
Hakea_cyclocarpa,4.1588830833596715
Hakea_linearis,3.8066624897703196
Hakea_lissocarpha,4.060443010546419
Hakea_oldfieldii,4.499809670330265
Hakea_tuberculata,4.343805421853684
Hakea_varia,4.02535169073515
Halimium_commutatum,1.881847792780877
Halimium_halimifolium,2.2403200814738007
Halocarpus_biformis,2.394426509026899
Halocarpus_kirkii,2.6595837293320734
Handroanthus_guayacan,2.3960405798500517
Haplopappus_spinulosus,4.751151876003154
Hedeoma_hispida,5.111987788356544
Hedera_helix,2.6615401246560184
Hedycarya_arborea,2.606995283041733
Helianthemum_almeriense,0.925675274184316
Helianthemum_apenninum,4.275281848253369
Helianthemum_oelandicum,3.8838190465245344
Helianthemum_syriacum,1.3568929599401491
Helianthus_agrestis,5.413118182025214
Helianthus_angustifolius,5.7826039240768505
Helianthus_annuus,5.49425414742403
Helianthus_argophyllus,5.63981268065158
Helianthus_atrorubens,5.60285655606624
Helianthus_carnosus,5.6008018408809885
Helianthus_cusickii,5.1800404589569835
Helianthus_debilis,5.774240938304763
Helianthus_floridanus,5.50577859046014
Helianthus_giganteus,5.156696196880458
Helianthus_grosseserratus,5.358588984889605
Helianthus_heterophyllus,5.604109458172135
Helianthus_longifolius,5.85574027569081
