"binominal","state","SRL"
"Lithocarpus_cleistocarpus","EcM",4.23122734829446
"Fagus_sylvatica","EcM",3.23261235718156
"Fagus_grandifolia","EcM",2.98092698178909
"Fagus_engleriana","EcM",4.5383184974605
"Nothofagus_solandri","EcM",4.60156986409406
"Nothofagus_menziesii","EcM",3.79039153857578
"Nothofagus_fusca","EcM",4.03580637941653
"Nothofagus_obliqua","EcM",3.56671182013973
"Hypericum_perforatum","AM",6.44666164633048
"Cratoxylum_cochinchinense","AM",3.48216274048526
"Garcinia_cowa","AM",4.46900676117522
"Garcinia_oblongifolia","AM",4.50942991370726
"Salix_atrocinerea","EcMAM",3.16392959082381
"Salix_gordejevii","EcMAM",5.25587948385007
"Salix_pierotii","EcMAM",5.14041448609564
"Salix_viminalis","EcMAM",5.76424085896967
"Salix_caprea","EcMAM",4.84060630594397
"Salix_raddeana","EcMAM",5.80226126637612
"Populus_grandidentata","EcMAM",3.78983781541283
"Populus_alba","EcMAM",2.22830217309171
"Populus_tremula","EcMAM",5.79668713938625
"Populus_tremuloides","EcMAM",3.90434359408428
"Populus_cathayana","EcMAM",5.04950052687302
"Populus_koreana","EcMAM",5.25149457333461
"Populus_balsamifera","EcMAM",4.49980967033027
"Populus_trichocarpa","EcMAM",5.79136831956124
"Populus_deltoides","EcMAM",4.4688365450163
"Dovyalis_abyssinica","AM",2.37583555473364
"Viola_adunca","AM",4.42148690566935
"Viola_thomasiana","AM",3.43398720448515
"Melicytus_ramiflorus","AM",4.03830937974802
"Antidesma_maclurei","AM",2.99523214851231
"Aporosa_subcaudata","AM",2.42200893113083
"Aporosa_octandra","AM",3.3724549127965
"Aporosa_yunnanensis","AM",4.18122373798048
"Carallia_brachiata","AM",4.6935472966055
"Galearia_maingayi","AM",1.72910678371749
"Euphorbia_cyparissias","AM",1.84687876844913
"Aleurites_moluccana","AM",2.09801792725277
"Endospermum_chinense","AM",3.34801880036033
"Macaranga_sampsonii","AM",4.72974804048834
"Mallotus_paniculatus","AM",4.57595902781934
"Blumeodendron_tokbrai","AM",3.21107720250907
"Alchornea_tiliifolia","AM",5.63645607098297
"Alchornea_trewioides","AM",4.5277725277766
"Linum_lewisii","AM",4.09392364031357
"Elaeocarpus_dentatus","AM",3.33676276181872
"Elaeocarpus_hookerianus","AM",3.50929225186295
"Elaeocarpus_dubius","AM",4.06716531163141
"Elaeocarpus_sylvestris","AM",4.49776253343019
"Elaeocarpus_glabripetalus","AM",4.33990170837321
"Aristotelia_serrata","AM",4.31711414640265
"Weinmannia_racemosa","AM",4.00644116045768
"Weinmannia_blumei","AM",4.36948899086133
"Leiospermum_racemosum","AM",3.72569342723665
"Weinmannia_silvicola","AM",3.78584020338779
"Caldcluvia_rosifolia","AM",3.95102436832769
"Prionostemma_aspera","AM",2.52342232848532
"Euonymus_alatus","AM",4.67465103825527
"Euonymus_verrucosus","AM",5.22293238775292
"Maytenus_arbutifolia","AM",2.76506045581899
"Maytenus_schippii","AM",1.91937822604585
"Microtropis_discolor","AM",4.37688845681776
"Alliaria_petiolata","NM",6.23967690888517
"Draba_nemorosa","NM",5.60418368389196
"Berteroa_incana","NM",5.46806014113513
"Hesperis_matronalis","NM",6.07752154579015
"Erysimum_inconspicuum","NM",5.88545849424695
"Lepidium_densiflorum","NM",4.5595692882825
"Descurainia_sophia","NM",5.12782868216689
"Microcos_paniculata","AM",4.74823102882874
"Sphaeralcea_coccinea","AM",4.18333130480847
"Sida_acuta","AM",2.94916463773766
"Hoheria_lyallii","AM",3.63765505126308
"Hoheria_sexstylosa","AM",3.17473858062826
"Plagianthus_regius","AM",4.06592529618082
"Ceiba_pentandra","AM",1.96009478404727
"Tilia_mongolica","EcM",4.22991586656124
"Tilia_mandshurica","EcM",4.46657584670906
"Tilia_cordata","EcM",3.50128124956826
"Tilia_oliveri","EcM",5.00813958974864
"Tilia_amurensis","EcM",4.87555174893455
"Tilia_americana","EcM",4.61362749571098
"Pterospermum_acerifolium","AM",3.24493335918749
