binominal,state,RD
Hosta_ventricosa,AM,-0.8988192509621502
Ilex_opaca,AM,-1.5076300700532768
Iris_japonica,AM,-0.8584936331479384
Itea_chinensis,AM,-2.126449295287177
Juglans_mandshurica,AM,-1.3541877262568558
Juglans_nigra,AM,-1.3238942246980918
Juniperus_monosperma,AM,-0.916290731874155
Juniperus_sabina,AM,-0.9167908569158374
Knema_erratica,AM,-0.1646799239417102
Koelreuteria_paniculata,AM,-1.3987718016265513
Lamium_album,NMAM,-1.9995219185039625
Larix_gmelinii,EcM,-1.0788368689315948
Lespedeza_bicolor,AM,-1.406905315024015
Lespedeza_thunbergii,AM,-1.474470052023616
Lindera_communis,AM,-0.9288695140810151
Lindera_obtusiloba,AM,-1.3417991212333393
Liquidambar_formosana,AM,-1.2954181787876518
Liquidambar_styraciflua,AM,-1.2045901448413856
Liriodendron_chinense,AM,-0.5832977551499219
Liriodendron_tulipifera,AM,-0.5541500314341674
Lithocarpus_chiungchungensis,EcM,-1.5162208307229665
Lithocarpus_cleistocarpus,EcM,-1.2941710722440847
Lithocarpus_fenestratus,EcM,-0.5181440045736706
Litsea_baviensis,AM,-0.34822503093608975
Litsea_cubeba,AM,-0.9015745480384745
Litsea_elongata,AM,-1.1427732889689353
Litsea_ichangensis,AM,-0.9069903646768557
Litsea_verticillata,AM,-0.6474283949149995
Lonicera_chrysantha,AM,-1.372292841484077
Macaranga_sampsonii,AM,-1.9736662040725328
Machilus_breviflora,AM,-0.5813032827187808
Machilus_kwangtungensis,AM,-0.8534802654634799
Machilus_nanmu,AM,-0.7322952643508026
Machilus_oculodracontis,AM,-0.7550225842780328
Machilus_robusta,AM,-0.7361590711532363
Machilus_shweliensis,AM,-0.9159902970092291
Machilus_velutina,AM,-0.7905174809562218
Macropanax_undulatus,AM,-1.3329431856228962
Magnolia_acuminata,AM,-0.6130406749215425
Magnolia_baillonii,AM,-0.5538201153388461
Magnolia_balansae,AM,-0.5446582123024426
Magnolia_cavaleriei,AM,-0.29785362777327734
